beta,kn_crossing_speed_m_s,core_radius_at_kn_m,gradient_length_at_kn_m,mach_at_kn,mach_crossing_speed_m_s,first_of_two_screens,kn_already_exceeded_at_reference,collision_rate_at_kn,speed_at_rate_marker_m_s
1.0,148.5884101040119,6.729999999999999e-06,6.729999999999999e-06,0.4307113078619495,103.4951305376248,Mach,False,0.003193597903724876,831.4666195359231
0.1,14.858841010401187,6.73e-05,6.73e-06,0.04307113078619494,103.4951305376248,Kn,False,0.0003193597903724876,262.9328316134172
0.01,1.485884101040119,0.000673,6.73e-06,0.004307113078619495,103.4951305376248,Kn,False,3.193597903724876e-05,83.1466619535923
0.001,0.14858841010401191,0.006729999999999999,6.729999999999999e-06,0.00043071130786194955,103.4951305376248,Kn,True,3.1935979037248767e-06,26.29328316134169
