variation_length_over_spacing,averaging_fraction,expected_count_in_cube
1.0,0.1,0.0010000000000000002
1.023292992280754,0.1,0.0010715193052376066
1.0471285480508996,0.1,0.001148153621496883
1.0715193052376064,0.1,0.0012302687708123819
1.096478196143185,0.1,0.0013182567385564077
1.1220184543019633,0.1,0.0014125375446227544
1.1481536214968828,0.1,0.001513561248436209
1.1748975549395295,0.1,0.0016218100973589304
1.202264434617413,0.1,0.0017378008287493758
1.2302687708123816,0.1,0.0018620871366628678
1.2589254117941673,0.1,0.00199526231496888
1.288249551693134,0.1,0.002137962089502233
1.318256738556407,0.1,0.0022908676527677724
1.3489628825916535,0.1,0.0024547089156850303
1.3803842646028848,0.1,0.0026302679918953826
1.4125375446227544,0.1,0.002818382931264455
1.4454397707459274,0.1,0.0030199517204020153
1.4791083881682074,0.1,0.0032359365692962824
1.5135612484362082,0.1,0.0034673685045253167
1.5488166189124815,0.1,0.0037153522909717275
1.5848931924611136,0.1,0.003981071705534974
1.62181009735893,0.1,0.004265795188015927
1.6595869074375607,0.1,0.004570881896148751
1.6982436524617444,0.1,0.004897788193684463
1.7378008287493754,0.1,0.0052480746024977255
1.7782794100389228,0.1,0.005623413251903492
1.8197008586099834,0.1,0.006025595860743579
1.8620871366628675,0.1,0.0064565422903465584
1.9054607179632472,0.1,0.006918309709189367
1.9498445997580451,0.1,0.007413102413009173
1.9952623149688795,0.1,0.007943282347242817
2.041737944669529,0.1,0.008511380382023766
2.0892961308540396,0.1,0.0091201083935591
2.137962089502232,0.1,0.009772372209558108
2.1877616239495525,0.1,0.010471285480508996
2.23872113856834,0.1,0.01122018454301964
2.290867652767773,0.1,0.012022644346174132
2.344228815319922,0.1,0.012882495516931337
2.3988329190194904,0.1,0.013803842646028847
2.4547089156850306,0.1,0.014791083881682082
2.51188643150958,0.1,0.015848931924611134
2.570395782768864,0.1,0.016982436524617447
2.6302679918953817,0.1,0.018197008586099836
2.6915348039269156,0.1,0.01949844599758045
2.7542287033381663,0.1,0.02089296130854039
2.8183829312644537,0.1,0.022387211385683392
2.884031503126606,0.1,0.02398832919019491
2.951209226666386,0.1,0.025703957827688657
3.019951720402016,0.1,0.027542287033381675
3.0902954325135905,0.1,0.02951209226666386
3.1622776601683795,0.1,0.03162277660168381
3.2359365692962827,0.1,0.033884415613920256
3.311311214825911,0.1,0.03630780547701016
3.3884415613920256,0.1,0.038904514499428076
3.4673685045253166,0.1,0.04168693834703355
3.548133892335755,0.1,0.044668359215096334
3.630780547701014,0.1,0.04786300923226386
3.715352290971726,0.1,0.051286138399136524
3.8018939632056115,0.1,0.054954087385762435
3.890451449942806,0.1,0.058884365535558904
3.9810717055349722,0.1,0.06309573444801933
4.073802778041127,0.1,0.06760829753919818
4.168693834703354,0.1,0.07244359600749901
4.265795188015927,0.1,0.07762471166286922
4.36515832240166,0.1,0.08317637711026715
4.466835921509632,0.1,0.0891250938133746
4.570881896148751,0.1,0.09549925860214362
4.677351412871983,0.1,0.10232929922807547
4.786300923226384,0.1,0.10964781961431856
4.8977881936844625,0.1,0.11748975549395299
5.011872336272724,0.1,0.12589254117941678
5.1286138399136485,0.1,0.13489628825916533
5.248074602497725,0.1,0.1445439770745927
5.370317963702527,0.1,0.15488166189124808
5.495408738576246,0.1,0.16595869074375613
5.623413251903491,0.1,0.17782794100389238
5.7543993733715695,0.1,0.1905460717963247
5.88843655355589,0.1,0.204173794466953
6.025595860743578,0.1,0.2187761623949553
6.165950018614822,0.1,0.23442288153199237
6.309573444801933,0.1,0.2511886431509581
6.456542290346556,0.1,0.2691534803926917
6.606934480075961,0.1,0.2884031503126607
6.760829753919819,0.1,0.3090295432513593
6.918309709189364,0.1,0.331131121482591
7.079457843841379,0.1,0.35481338923357547
7.244359600749901,0.1,0.38018939632056126
7.413102413009175,0.1,0.4073802778041127
7.5857757502918375,0.1,0.436515832240166
7.762471166286917,0.1,0.4677351412871982
7.943282347242816,0.1,0.5011872336272725
8.128305161640993,0.1,0.537031796370253
8.31763771102671,0.1,0.575439937337157
8.511380382023766,0.1,0.6165950018614825
8.709635899560807,0.1,0.6606934480075961
8.912509381337456,0.1,0.7079457843841382
9.120108393559097,0.1,0.7585775750291835
9.33254300796991,0.1,0.8128305161640994
9.549925860214358,0.1,0.8709635899560805
9.772372209558107,0.1,0.933254300796991
10.0,0.1,1.0
10.232929922807541,0.1,1.0715193052376064
10.471285480508996,0.1,1.148153621496883
10.715193052376065,0.1,1.2302687708123823
10.964781961431852,0.1,1.3182567385564081
11.220184543019636,0.1,1.4125375446227548
11.481536214968829,0.1,1.5135612484362084
11.748975549395297,0.1,1.621810097358931
12.02264434617413,0.1,1.7378008287493767
