speed_m_s,beta,core_radius_m,assumed_variation_length_m,air_mach,air_knudsen_proxy,air_reynolds_proxy,air_collision_rate_proxy,water_mach,water_length_over_mean_spacing,water_molecules_in_assumed_averaging_cube
0.1,1.0,0.009999999999999998,0.009999999999999998,0.000289868710191092,6.730000000000001e-06,65.02914198230619,1.4464731049362045e-09,6.681369153115481e-05,32181652.93424054,3.332921159582978e+19
0.10500066552328689,1.0,0.009523749159268156,0.009523749159268156,0.00030436407484441436,7.066544789717205e-06,65.02914198230623,1.5947568141484709e-09,7.015482076838852e-05,30648999.007633295,2.8790478652876755e+19
0.11025139760333166,1.0,0.009070179804866085,0.009070179804866085,0.00031958430420043,7.419919058704222e-06,65.02914198230619,1.7582416759730562e-09,7.366302870347702e-05,29189337.853135794,2.4869825038569546e+19
0.11576470123222342,1.0,0.008638211729100436,0.008638211729100436,0.0003355656463184172,7.790964392928635e-06,65.0291419823062,1.9384860210045365e-09,7.734667038326072e-05,27799193.18383961,2.1483081434884723e+19
0.12155370673487927,1.0,0.008226816169260059,0.008226816169260059,0.00035234616190185706,8.180564463257375e-06,65.0291419823062,2.137207930502715e-09,8.121451866252677e-05,26475254.271292552,1.8557540602804105e+19
0.12763220103984763,1.0,0.007835013357544413,0.007835013357544413,0.0003699658149427078,8.589647129981746e-06,65.0291419823062,2.3563016130684845e-09,8.527578509718714e-05,25214368.0607633,1.6030396489839999e+19
0.1340146605138595,1.0,0.007461870187676834,0.007461870187676834,0.0003884665678984952,9.019186652582745e-06,65.02914198230619,2.597855460157853e-09,8.95401418822544e-05,24013531.662017222,1.3847395898066629e+19
0.140716285438326,1.0,0.007106497992645537,0.007106497992645537,0.000407892481628891,9.470206009999338e-06,65.02914198230621,2.8641719525384947e-09,9.401774488686244e-05,22869885.197719578,1.1961673766417654e+19
0.14775303620989036,1.0,0.006768050428279874,0.006768050428279874,0.0004282898203297863,9.94377933692562e-06,65.0291419823062,3.1577896074363247e-09,9.871925784119161e-05,21780704.992434096,1.0332747062874194e+19
0.1551416713512479,1.0,0.006445721457621492,0.006445721457621492,0.00044970716171476515,1.0441034481938984e-05,65.0291419823062,3.481507175571307e-09,0.00010365587773290073,20743397.085996192,8.925645687234797e+18
0.16289978742276082,1.0,0.006138743431289936,0.006138743431289936,0.0004721955127063875,1.0963155693551804e-05,65.0291419823062,3.838410318727646e-09,0.00010883936147355032,19755491.055812165,7.710161726526628e+18
0.17104586092991844,1.0,0.005846385259271044,0.005846385259271044,0.0004958084309128035,1.151138644058351e-05,65.02914198230621,4.231901022147726e-09,0.00011428205389852375,18814634.133372065,6.660200945934364e+18
0.17959929232645008,1.0,0.005567950669774033,0.005567950669774033,0.0005206021521790097,1.208703237357009e-05,65.0291419823062,4.665730022107547e-09,0.00011999691716713134,17918585.60096401,5.7532225929336e+18
0.18858045221788608,1.0,0.0053027765510107,0.0053027765510107,0.0005466357245165149,1.2691464434263733e-05,65.0291419823062,5.144032557771804e-09,0.00012599756163291518,17065211.455245543,4.96975548824047e+18
0.19801072987560442,1.0,0.005050231371947502,0.005050231371947502,0.0005739711487303818,1.3326122120628179e-05,65.0291419823062,5.6713677881138254e-09,0.00013229827825767454,16252479.324962797,4.2929800149280046e+18
0.2079125841769025,1.0,0.004809713678269467,0.004809713678269467,0.0006026735260785557,1.399251691510554e-05,65.02914198230619,6.252762249620651e-09,0.00013891407264640822,15478453.630713746,3.708367031774484e+18
0.2183095970924117,1.0,0.004580650659973936,0.004580650659973936,0.0006328112133151435,1.4692235884319311e-05,65.02914198230619,6.893757769020292e-09,0.00014586070078423087,14741290.97522811,3.20336595896837e+18
0.2292265298482384,1.0,0.004362496787182791,0.004362496787182791,0.0006644559854868872,1.5426945458786444e-05,65.02914198230621,7.600464287733123e-09,0.0001531547065603725,14039235.7531856,2.7671353399361684e+18
0.24068938189658615,1.0,0.004154732510924212,0.004154732510924212,0.0006976832068705459,1.619839540164025e-05,65.0291419823062,8.379618101567875e-09,0.00016081346116862824,13370615.970116874,2.3903100949444925e+18
0.25272545283530107,1.0,0.003956863025789853,0.003956863025789853,0.0007325720104582838,1.700842297581576e-05,65.0291419823062,9.238646070800353e-09,0.00016885520447809218,12733839.260429792,2.06480046983367e+18
0.2653634074238066,1.0,0.003768417091520535,0.003768417091520535,0.0007692054864185206,1.7858957319622182e-05,65.0291419823062,1.0185736412682674e-08,0.00017729908847270368,12127389.095077405,1.78361836367693e+18
0.2786333438502683,1.0,0.0035889459107140424,0.0035889459107140424,0.000807670879981083,1.8752024041123055e-05,65.0291419823062,1.1229916751174113e-08,0.00018616522286306014,11549821.169836115,1.5407273069352975e+18
0.29256686541257,1.0,0.0034180220599821743,0.0034180220599821743,0.0008480597992179247,1.968975004226596e-05,65.0291419823062,1.2381140167860113e-08,0.00019547472297912335,10999759.965592423,1.3309128694113815e+18
0.30719715578381745,1.0,0.003255238472011524,0.003255238472011524,0.0008904684332142713,2.067436858425091e-05,65.0291419823062,1.3650380074293252e-08,0.00020524976005788088,10475895.472446237,1.1496707158960119e+18
