time_ratio,parcel_radial_ratio,parcel_axial_ratio,parcel_volume_ratio,core_radial_ratio,core_axial_ratio,core_volume_ratio
1.0,1.0,1.0,1,1.0,1.0,1.0
0.9623506263980885,0.9809947127268773,1.0391223038351691,1,0.9809947127268773,0.9809947127268773,0.9440608762859233
0.9261187281287935,0.9623506263980885,1.0797751623277096,1,0.9623506263980885,0.9623506263980885,0.8912509381337456
0.8912509381337456,0.9440608762859234,1.1220184543019633,1,0.9440608762859234,0.9440608762859234,0.8413951416451951
0.8576958985908941,0.9261187281287935,1.1659144011798317,1,0.9261187281287935,0.9261187281287935,0.7943282347242815
0.8254041852680184,0.9085175756516868,1.2115276586285886,1,0.9085175756516868,0.9085175756516868,0.7498942093324558
0.7943282347242815,0.8912509381337456,1.2589254117941673,1,0.8912509381337456,0.8912509381337456,0.7079457843841379
0.7644222742526002,0.8743124580220736,1.3081774742601942,1,0.8743124580220736,0.8743124580220736,0.6683439175686146
0.7356422544596414,0.8576958985908941,1.3593563908785256,1,0.8576958985908941,0.8576958985908941,0.6309573444801934
0.7079457843841379,0.8413951416451951,1.4125375446227544,1,0.8413951416451951,0.8413951416451951,0.5956621435290105
0.6812920690579612,0.8254041852680184,1.4677992676220697,1,0.8254041852680184,0.8254041852680184,0.5623413251903491
0.6556418494179789,0.809717141610562,1.525222956539019,1,0.809717141610562,0.809717141610562,0.5308844442309884
0.6309573444801932,0.7943282347242815,1.5848931924611134,1,0.7943282347242815,0.7943282347242815,0.5011872336272722
0.6072021956909885,0.7792317984341941,1.6468978654828683,1,0.7792317984341941,0.7792317984341941,0.47315125896148047
0.5843414133735176,0.7644222742526002,1.7113283041617806,1,0.7644222742526002,0.7644222742526002,0.44668359215096315
0.5623413251903491,0.7498942093324559,1.7782794100389228,1,0.7498942093324559,0.7498942093324559,0.4216965034285822
0.5411695265464637,0.7356422544596413,1.847849797422291,1,0.7356422544596413,0.7356422544596413,0.39810717055349726
0.5207948328595463,0.7216611620833883,1.920141938638802,1,0.7216611620833883,0.7216611620833883,0.37583740428844414
0.5011872336272722,0.7079457843841379,1.9952623149688797,1,0.7079457843841379,0.7079457843841379,0.3548133892335754
0.48231784822393065,0.6944910713781212,2.073321573485955,1,0.6944910713781212,0.6944910713781212,0.33496543915782767
0.4641588833612779,0.6812920690579614,2.1544346900318834,1,0.6812920690579614,0.6812920690579614,0.31622776601683794
0.44668359215096315,0.6683439175686147,2.2387211385683394,1,0.6683439175686147,0.6683439175686147,0.298538261891796
0.4298662347082277,0.6556418494179789,2.326305067153626,1,0.6556418494179789,0.6556418494179789,0.2818382931264454
0.4136820402388507,0.6431811877215088,2.417315480804104,1,0.6431811877215088,0.6431811877215088,0.26607250597988097
0.3981071705534972,0.6309573444801932,2.5118864315095806,1,0.6309573444801932,0.6309573444801932,0.25118864315095796
0.38311868495572876,0.6189658188912606,2.610157215682537,1,0.6189658188912606,0.6189658188912606,0.23713737056616552
0.3686945064519575,0.6072021956909885,2.7122725793320286,1,0.6072021956909885,0.6072021956909885,0.22387211385683392
0.35481338923357547,0.5956621435290105,2.8183829312644537,1,0.5956621435290105,0.5956621435290105,0.21134890398366468
0.34145488738336016,0.5843414133735176,2.9286445646252366,1,0.5843414133735176,0.5843414133735176,0.19952623149688795
0.3285993247600654,0.5732358369467714,3.043219887107722,1,0.5732358369467714,0.5732358369467714,0.18836490894898003
0.31622776601683794,0.5623413251903491,3.162277660168379,1,0.5623413251903491,0.5623413251903491,0.1778279410038923
0.3043219887107722,0.5516538667595581,3.285993247600654,1,0.5516538667595581,0.5516538667595581,0.16788040181225605
0.2928644564625237,0.5411695265464637,3.4145488738336014,1,0.5411695265464637,0.5411695265464637,0.15848931924611137
0.28183829312644537,0.5308844442309884,3.5481338923357546,1,0.5308844442309884,0.5308844442309884,0.14962356560944334
0.27122725793320285,0.5207948328595464,3.686945064519575,1,0.5207948328595464,0.5207948328595464,0.14125375446227545
0.26101572156825364,0.5108969774506927,3.8311868495572883,1,0.5108969774506927,0.5108969774506927,0.13335214321633237
0.251188643150958,0.5011872336272722,3.9810717055349727,1,0.5011872336272722,0.5011872336272722,0.12589254117941673
0.24173154808041036,0.4916620262745643,4.136820402388508,1,0.4916620262745643,0.4916620262745643,0.11885022274370183
0.23263050671536262,0.48231784822393065,4.298662347082277,1,0.48231784822393065,0.48231784822393065,0.11220184543019635
0.22387211385683395,0.47315125896148047,4.466835921509632,1,0.47315125896148047,0.47315125896148047,0.10592537251772888
0.2154434690031884,0.4641588833612779,4.641588833612778,1,0.4641588833612779,0.4641588833612779,0.10000000000000002
0.2073321573485955,0.45533741044262493,4.823178482239307,1,0.45533741044262493,0.45533741044262493,0.09440608762859233
0.19952623149688797,0.44668359215096315,5.011872336272723,1,0.44668359215096315,0.44668359215096315,0.08912509381337456
0.19201419386388016,0.4381942421619437,5.207948328595464,1,0.4381942421619437,0.4381942421619437,0.08413951416451951
0.18478497974222913,0.4298662347082277,5.411695265464636,1,0.4298662347082277,0.4298662347082277,0.07943282347242817
0.1778279410038923,0.4216965034285823,5.62341325190349,1,0.4216965034285823,0.4216965034285823,0.07498942093324559
0.1711328304161781,0.41368204023885075,5.843414133735175,1,0.41368204023885075,0.41368204023885075,0.0707945784384138
0.16468978654828684,0.4058198942243798,6.072021956909886,1,0.4058198942243798,0.4058198942243798,0.06683439175686146
0.15848931924611134,0.39810717055349726,6.3095734448019325,1,0.39810717055349726,0.39810717055349726,0.06309573444801932
0.1525222956539019,0.390541029411638,6.5564184941797885,1,0.390541029411638,0.390541029411638,0.059566214352901055
0.14677992676220694,0.38311868495572876,6.812920690579613,1,0.38311868495572876,0.38311868495572876,0.0562341325190349
0.14125375446227545,0.3758374042884442,7.079457843841378,1,0.3758374042884442,0.3758374042884442,0.053088444423098846
