frame,time_ratio,radial_width,axial_width,peak,energy_ratio
0,1.0,1.0,2.0,1.0,1.0
1,0.9371972075541282,0.9680894625777765,1.936178925155553,1.0329623848370932,0.9680894625777765
2,0.8783386058472556,0.9371972075541282,1.8743944151082563,1.0670112884883352,0.9371972075541282
3,0.8231764886870341,0.9072907409904689,1.8145814819809378,1.1021825252050104,0.9072907409904689
4,0.7714787065217008,0.8783386058472556,1.7566772116945113,1.1385130897615372,0.8783386058472556
5,0.7230276894396087,0.8503103488959832,1.7006206977919665,1.176041196368325,0.8503103488959832
6,0.6776195315271147,0.8231764886870341,1.6463529773740682,1.2148063188672933,0.8231764886870341
7,0.6350631327313485,0.796908484539692,1.593816969079384,1.2548492322523297,0.796908484539692
8,0.5951793946163965,0.7714787065217007,1.5429574130434014,1.296212055558362,0.7714787065217007
9,0.5578004666282433,0.7468604063867915,1.493720812773583,1.3389382961641563,0.7468604063867915
10,0.5227690396963793,0.7230276894396087,1.4460553788792174,1.3830728955554412,0.7230276894396087
11,0.4899376841991999,0.6999554872984424,1.3999109745968847,1.4286622765964925,0.6999554872984424
12,0.4591682295070265,0.6776195315271147,1.3552390630542295,1.475754392359904,0.6776195315271147
13,0.4303311824915583,0.6559963281082892,1.3119926562165785,1.5243987765659017,0.6559963281082892
14,0.4033051825545544,0.6350631327313485,1.270126265462697,1.574646595684261,0.6350631327313485
15,0.3779764908822363,0.6147979268688504,1.2295958537377008,1.6265507027536246,0.6147979268688504
16,0.35423851177594023,0.5951793946163965,1.190358789232793,1.6801656929748339,0.5951793946163965
17,0.33199134404454134,0.5761869002715537,1.1523738005431075,1.735547961136752,0.5761869002715537
18,0.31114136057068603,0.5578004666282433,1.1156009332564867,1.792755760934974,0.5578004666282433
19,0.291600814281439,0.540000753963769,1.080001507927538,1.8518492662458288,0.540000753963769
20,0.27328746886507466,0.5227690396963793,1.0455380793927587,1.9128906344201124,0.5227690396963793
21,0.25612425267988376,0.5060871986919683,1.0121743973839366,1.9759440716631393,0.5060871986919683
22,0.24003893439847493,0.4899376841991999,0.9798753683983998,2.041075900569873,0.4899376841991999
23,0.2249638190225193,0.47430350939300386,0.9486070187860077,2.1083546298861737,0.47430350939300386
