time_ratio,quadrature_order,numeric_energy,whole_space_energy,relative_error,truncation_tail_fraction
1,16,14.681976288512038,15.136284808687387,0.030014533019000922,1.0435995085739128e-26
1,32,15.136279062877238,15.136284808687387,3.7960504983836074e-07,1.0435995085739128e-26
1,48,15.136284808687007,15.136284808687387,2.5091040356528538e-14,1.0435995085739128e-26
1,64,15.136284808687435,15.136284808687387,3.1086244689504383e-15,1.0435995085739128e-26
1,96,15.13628480868751,15.136284808687387,7.993605777301127e-15,1.0435995085739128e-26
0.0001,16,0.1468197628851204,0.1513628480868739,0.030014533019000922,1.0435995085739128e-26
0.0001,32,0.15136279062877236,0.1513628480868739,3.7960505006040535e-07,1.0435995085739128e-26
0.0001,48,0.15136284808687003,0.1513628480868739,2.55351295663786e-14,1.0435995085739128e-26
0.0001,64,0.15136284808687436,0.1513628480868739,3.1086244689504383e-15,1.0435995085739128e-26
0.0001,96,0.1513628480868751,0.1513628480868739,7.993605777301127e-15,1.0435995085739128e-26
1e-08,16,0.001468197628851204,0.0015136284808687389,0.03001453301900081,1.0435995085739128e-26
1e-08,32,0.001513627906287724,0.0015136284808687389,3.7960504983836074e-07,1.0435995085739128e-26
1e-08,48,0.0015136284808687007,0.0015136284808687389,2.5202062658991053e-14,1.0435995085739128e-26
1e-08,64,0.0015136284808687438,0.0015136284808687389,3.3306690738754696e-15,1.0435995085739128e-26
1e-08,96,0.0015136284808687514,0.0015136284808687389,8.215650382226158e-15,1.0435995085739128e-26
