case,h,time_ratio,radial_ratio,axial_ratio,speed_ratio,volume_ratio,energy_ratio,slenderness_ratio
h_zero_limit,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h_zero_limit,0,0.8912509381337456,0.9440608762859234,0.9440608762859234,1.0592537251772889,0.8413951416451951,0.9440608762859234,1.0
h_zero_limit,0,0.7943282347242815,0.8912509381337456,0.8912509381337456,1.1220184543019633,0.7079457843841379,0.8912509381337456,1.0
h_zero_limit,0,0.7079457843841379,0.8413951416451951,0.8413951416451951,1.1885022274370185,0.5956621435290105,0.8413951416451951,1.0
h_zero_limit,0,0.6309573444801932,0.7943282347242815,0.7943282347242815,1.2589254117941673,0.5011872336272722,0.7943282347242815,1.0
h_zero_limit,0,0.5623413251903491,0.7498942093324559,0.7498942093324559,1.333521432163324,0.4216965034285822,0.7498942093324559,1.0
h_zero_limit,0,0.5011872336272722,0.7079457843841379,0.7079457843841379,1.4125375446227544,0.3548133892335754,0.7079457843841379,1.0
h_zero_limit,0,0.4466835921509631,0.6683439175686146,0.6683439175686146,1.4962356560944334,0.29853826189179594,0.6683439175686146,1.0
h_zero_limit,0,0.3981071705534972,0.6309573444801932,0.6309573444801932,1.5848931924611136,0.25118864315095796,0.6309573444801932,1.0
h_zero_limit,0,0.35481338923357547,0.5956621435290105,0.5956621435290105,1.6788040181225603,0.21134890398366468,0.5956621435290105,1.0
h_zero_limit,0,0.31622776601683794,0.5623413251903491,0.5623413251903491,1.7782794100389228,0.1778279410038923,0.5623413251903491,1.0
h_zero_limit,0,0.28183829312644537,0.5308844442309884,0.5308844442309884,1.8836490894898006,0.14962356560944334,0.5308844442309884,1.0
h_zero_limit,0,0.25118864315095796,0.5011872336272722,0.5011872336272722,1.9952623149688797,0.12589254117941667,0.5011872336272722,1.0
h_zero_limit,0,0.22387211385683395,0.47315125896148047,0.47315125896148047,2.113489039836647,0.10592537251772888,0.47315125896148047,1.0
h_zero_limit,0,0.19952623149688792,0.4466835921509631,0.4466835921509631,2.23872113856834,0.08912509381337452,0.4466835921509631,1.0
h_zero_limit,0,0.1778279410038923,0.4216965034285823,0.4216965034285823,2.371373705661655,0.07498942093324559,0.4216965034285823,1.0
h_zero_limit,0,0.15848931924611134,0.39810717055349726,0.39810717055349726,2.51188643150958,0.06309573444801932,0.39810717055349726,1.0
h_zero_limit,0,0.1412537544622754,0.37583740428844414,0.37583740428844414,2.66072505979881,0.05308844442309881,0.37583740428844414,1.0
h_zero_limit,0,0.12589254117941673,0.35481338923357547,0.35481338923357547,2.8183829312644537,0.044668359215096314,0.35481338923357547,1.0
h_zero_limit,0,0.11220184543019633,0.3349654391578276,0.3349654391578276,2.98538261891796,0.03758374042884441,0.3349654391578276,1.0
h_zero_limit,0,0.1,0.31622776601683794,0.31622776601683794,3.162277660168379,0.0316227766016838,0.31622776601683794,1.0
h_zero_limit,0,0.08912509381337455,0.29853826189179594,0.29853826189179594,3.3496543915782766,0.026607250597988095,0.29853826189179594,1.0
h_zero_limit,0,0.07943282347242814,0.28183829312644537,0.28183829312644537,3.548133892335755,0.022387211385683392,0.28183829312644537,1.0
h_zero_limit,0,0.07079457843841377,0.2660725059798809,0.2660725059798809,3.758374042884442,0.018836490894898,0.2660725059798809,1.0
h_zero_limit,0,0.0630957344480193,0.25118864315095796,0.25118864315095796,3.981071705534973,0.015848931924611127,0.25118864315095796,1.0
h_zero_limit,0,0.05623413251903491,0.23713737056616555,0.23713737056616555,4.216965034285822,0.01333521432163324,0.23713737056616555,1.0
h_zero_limit,0,0.05011872336272722,0.22387211385683395,0.22387211385683395,4.466835921509632,0.011220184543019632,0.22387211385683395,1.0
h_zero_limit,0,0.0446683592150963,0.21134890398366465,0.21134890398366465,4.731512589614805,0.00944060876285923,0.21134890398366465,1.0
h_zero_limit,0,0.03981071705534971,0.19952623149688792,0.19952623149688792,5.011872336272724,0.007943282347242812,0.19952623149688792,1.0
h_zero_limit,0,0.03548133892335753,0.18836490894898,0.18836490894898,5.308844442309884,0.006683439175686142,0.18836490894898,1.0
h_zero_limit,0,0.03162277660168379,0.17782794100389226,0.17782794100389226,5.623413251903491,0.00562341325190349,0.17782794100389226,1.0
h_zero_limit,0,0.028183829312644536,0.16788040181225602,0.16788040181225602,5.956621435290105,0.004731512589614804,0.16788040181225602,1.0
h_zero_limit,0,0.025118864315095794,0.15848931924611132,0.15848931924611132,6.309573444801933,0.003981071705534971,0.15848931924611132,1.0
h_zero_limit,0,0.02238721138568339,0.14962356560944332,0.14962356560944332,6.683439175686147,0.003349654391578275,0.14962356560944332,1.0
h_zero_limit,0,0.01995262314968879,0.1412537544622754,0.1412537544622754,7.07945784384138,0.002818382931264452,0.1412537544622754,1.0
h_zero_limit,0,0.01778279410038923,0.1333521432163324,0.1333521432163324,7.498942093324558,0.0023713737056616554,0.1333521432163324,1.0
h_zero_limit,0,0.015848931924611134,0.12589254117941673,0.12589254117941673,7.943282347242815,0.0019952623149688794,0.12589254117941673,1.0
h_zero_limit,0,0.01412537544622754,0.11885022274370183,0.11885022274370183,8.413951416451951,0.0016788040181225598,0.11885022274370183,1.0
h_zero_limit,0,0.012589254117941668,0.11220184543019633,0.11220184543019633,8.912509381337458,0.0014125375446227535,0.11220184543019633,1.0
h_zero_limit,0,0.01122018454301963,0.10592537251772886,0.10592537251772886,9.440608762859236,0.0011885022274370177,0.10592537251772886,1.0
h_zero_limit,0,0.01,0.1,0.1,10.0,0.001,0.1,1.0
h_zero_limit,0,0.00891250938133745,0.09440608762859232,0.09440608762859232,10.592537251772892,0.0008413951416451944,0.09440608762859232,1.0
h_zero_limit,0,0.007943282347242814,0.08912509381337455,0.08912509381337455,11.220184543019636,0.0007079457843841378,0.08912509381337455,1.0
h_zero_limit,0,0.00707945784384138,0.08413951416451952,0.08413951416451952,11.885022274370183,0.0005956621435290107,0.08413951416451952,1.0
