marker,fluid,speed_m_s,radius_m,radius_nm,diameter_m,necessary_h_envelope_lower_m,necessary_h_envelope_upper_m,introductory_h_envelope_upper_m,relative_time_remaining,air_mach,water_mach,air_kn_proxy,water_spacing_ratio,interpretation
Air Ma=0.3 screen,air,103.4951305376248,9.66229033970307e-06,9662.29033970307,1.932458067940614e-05,9.66229033970307e-06,9.666361242929343e-06,1.0582500971386387e-05,9.335985460871927e-05,0.3,0.06914891726717463,0.006965222285182147,31094.847426218934,anchored power-law extrapolation; frozen reference properties
Air Ma=1,air,344.98376845874935,2.8986871019109187e-06,2898.6871019109185,5.797374203821837e-06,2.8986871019109187e-06,2.9002253810335796e-06,3.2505892602972567e-06,8.40238691478472e-06,1.0,0.2304963908905821,0.023217407617273842,9328.454227865674,anchored power-law extrapolation; frozen reference properties
Air Ma=5 marker,air,1724.9188422937468,5.797374203821843e-07,579.7374203821843,1.1594748407643685e-06,5.797374203821843e-07,5.801298405979471e-07,6.709611679850719e-07,3.3609547659138935e-07,5.0,1.1524819544529106,0.1160870380863691,1865.6908455731364,anchored power-law extrapolation; frozen reference properties
Water Ma=0.3 screen,water,449.00976599999996,2.227123051038494e-06,2227.123051038494,4.454246102076988e-06,2.227123051038494e-06,2.228358262915014e-06,2.5104364292268435e-06,4.96007708446701e-06,1.30153881733624,0.3,0.030218357251799992,7167.25010703677,anchored power-law extrapolation; frozen reference properties
Water Ma=1 marker,water,1496.69922,6.681369153115483e-07,668.1369153115484,1.3362738306230967e-06,6.681369153115483e-07,6.685805578463489e-07,7.711218470537688e-07,4.4640693760203104e-07,4.338462724454135,1.0,0.10072785750599995,2150.175032111031,anchored power-law extrapolation; frozen reference properties
1 km/s,none,1000.0,1.0000000000000002e-06,1000.0000000000001,2.0000000000000003e-06,1.0000000000000002e-06,1.0006273629722383e-06,1.1450475699382827e-06,1.0000000000000004e-06,2.89868710191092,0.6681369153115481,0.06729999999999998,3218.1652934240547,anchored power-law extrapolation; frozen reference properties
0.01c (formal),none,2997924.58,3.33564095198152e-10,0.333564095198152,6.67128190396304e-10,3.33564095198152e-10,3.340160517209795e-10,4.4686442470166243e-10,1.1126500560536185e-13,8690.045312547712,2003.0240812178683,201.76032423400002,1.07346439429909,anchored power-law extrapolation; frozen reference properties
0.1c (formal),none,29979245.8,3.335640951981517e-11,0.03335640951981517,6.671281903963034e-11,3.335640951981517e-11,3.3408588688667607e-11,4.675021630105557e-11,1.112650056053616e-15,86900.45312547713,20030.240812178683,2017.6032423400022,0.1073464394299089,anchored power-law extrapolation; frozen reference properties
