speed_ratio,radius_ratio,h
1.0,1.0,0
1.0541990878478096,0.9485874267274702,0
1.1113357168191536,0.8998181061454438,0
1.171569098963443,0.8535561418312924,0
1.2350670754779418,0.8096726241471732,0
1.302006584399708,0.7680452710314453,0
1.372574153646014,0.7285580872579211,0
1.4469664207771071,0.6911010412134793,0
1.525390680929636,0.6555697582933696,0
1.6080654644475714,0.6218652300598572,0
1.6952211458201936,0.5898935383537662,0
1.7871005856239666,0.5595655935901614,0
1.8839598072570718,0.5307968865089207,0
1.98606871035234,0.5035072526884501,0
2.093711822856512,0.4776206491663551,0
2.2071890938715093,0.45306494254461677,0
2.3268167294669784,0.42977170798882713,0
2.452928073793112,0.4076760385613913,0
2.585874537948983,0.3867163643573991,0
2.7260265791946936,0.3668342809391881,0
2.8737747332359302,0.3479743865915263,0
3.0295307024573996,0.3300841279439259,0
3.1937285031375247,0.3131136535299097,0
3.366825674841128,0.29701567487517383,0
3.549304555360103,0.281745334727564,0
3.741673624754695,0.2672600820616898,0
3.9444689222406075,0.25351955350987077,0
4.15825553987008,0.24048546088902556,0
4.383629197169139,0.22812148451009046,0
4.621217901118732,0.21639317197267716,0
4.871683696105335,0.20526784216295682,0
5.13572450871729,0.1947144941872597,0
5.414076092527406,0.18470372098763366,0
5.707514078281023,0.17520762739864812,0
6.016856135202387,0.16619975241710902,0
6.342964249441852,0.15765499546808812,0
6.686747126012867,0.14954954646180466,0
7.049162720911725,0.14186081944646356,0
7.431220910475923,0.13456738967217113,0
7.833986305419287,0.12764893389055756,0
8.258581217385242,0.12108617372374901,0
8.706188786284576,0.11486082194488649,0
9.178056277132026,0.10895553152050205,0
9.675498555568444,0.1033538472727568,0
10.199901751753053,0.09804016002684833,0
10.75272712283534,0.09299966311581748,0
11.335515124769415,0.08821831112155495,0
11.949889704816972,0.08368278073703914,0
12.59756282669998,0.0793804336407471,0
13.28033924101259,0.075299281279787,0
14.00012151418494,0.07142795146362114,0
14.758915330012256,0.06775565667529104,0
15.558835078521978,0.06427216401184424,0
16.40210974775237,0.06096776667020126,0
17.29108913486021,0.05783325689900704,0
18.2282503938648,0.05485990034109782,0
19.216204938273744,0.05203941169508747,0
20.257705717824763,0.049363931628254414,0
21.355654889620215,0.04682600487639665,0
22.513111905030243,0.04441855946962907,0
23.73330203489854,0.04213488702623656,0
25.0196253568066,0.0399686240596704,0
26.375666229439453,0.0379137342466004,0
27.805203280453338,0.035964491606611845,0
29.312219935676826,0.034115464546677625,0
30.900915518984885,0.03236150072594518,0
32.57571695377608,0.03069771269866351,0
34.341291098659184,0.02911946429524439,0
36.20255775172261,0.02762235770350832,0
38.16470335962361,0.02620222121411668,0
40.233195469697435,0.02485509759604288,0
42.41379796535765,0.023577233069690447,0
44.712587127241335,0.022365066846931472,0
47.13596856485352,0.02121522120891858,0
49.690695065891596,0.02012449209402213,0
52.38388541298656,0.019089840169665778,0
55.2230442202946,0.018108382363181953,0
58.21608284521383,0.017177383828087874,0
61.37134143349693,0.016294250323395938,0
64.69761215918894,0.015456520984723414,0
68.20416372414832,0.014661861467057925,0
71.9007671854198,0.013908057440071127,0
75.79772318242729,0.013193008417854916,0
79.90589063985561,0.012514721905886848,0
84.2367170262026,0.011871307848915106,0
