factor,radius_vary_r0_m,radius_vary_u0_introductory_ceiling_m,air_kn_crossing_speed_m_s
0.1,3.33564095198152e-11,4.675021630105557e-11,14.858841010401187
0.10394574653722628,3.467256889338633e-11,4.855800144358792e-11,15.445133215041055
0.10804718223181288,3.604066057986451e-11,5.0435691869563566e-11,16.05455902404352
0.11231045018329522,3.7462733696688e-11,5.2385990747925535e-11,16.688031230801663
0.11674193588234581,3.894091821427536e-11,5.441170577651672e-11,17.34649864522226
0.1213482767749144,4.0477428146279247e-11,5.651575322410912e-11,18.030947514846122
0.12613637220374432,4.207456486571931e-11,5.870116212873599e-11,18.74240300204225
0.13111339374215644,4.373472055196146e-11,6.097107865836958e-11,19.48193071948833
0.1362867959355774,4.546038177370606e-11,6.332877064022023e-11,20.250638326237357
0.1416643274669021,4.7254133213351916e-11,6.57776322651799e-11,21.049677186761084
0.14725404276241227,4.911866153831404e-11,6.83211889741841e-11,21.880244095455016
0.15306431405563586,5.105675942509396e-11,7.096310253352065e-11,22.743583069188094
0.15910384392721524,5.307132974212955e-11,7.370717630639836e-11,23.640987210581763
0.16538167833956727,5.5165389897689574e-11,7.655736072836243e-11,24.573800644809406
0.17190722018585747,5.7342076359325044e-11,7.951775899443629e-11,25.543420532816857
0.17869024337358286,5.960464935164675e-11,8.259263296618197e-11,26.55129916397962
0.18574090746385719,6.19564977394652e-11,8.578640930718086e-11,27.59894613133093
0.193069772888325,6.440114410360683e-11,8.910368585576484e-11,28.687930592618876
0.20068781676649675,6.694225001700901e-11,9.25492382441774e-11,29.81988362057902
0.20860644934719577,6.958362152899649e-11,9.61280267736913e-11,30.996500645942906
0.2168375310987434,7.23292148659535e-11,9.984520355557727e-11,32.21954399684151
0.22539339047347906,7.518314235692981e-11,1.0370611992821014e-10,33.490845538406994
0.23428684237322328,7.814967859305628e-11,1.0771633416098713e-10,34.812309416526496
0.2435312073433415,8.123326682999526e-11,1.1188161945614599e-10,36.18591490985758
0.25314033152415677,8.443852564301559e-11,1.1620797226000869e-10,37.61371939437694
0.2631286073895943,8.77702558446598e-11,1.2070162089561343e-10,39.097861424902575
0.27351099530412093,9.12334476753651e-11,1.253690345291571e-10,40.64056393820519
0.28430304593026634,9.483328827780794e-11,1.3021693248316713e-10,42.24413758250615
0.2955209235202887,9.857516946616739e-11,1.3525229390980277e-10,43.91098417834898
0.30718143012686966,1.0246469580194363e-10,1.4048236783821023e-10,45.64360031602818
0.31930203076910274,1.0650769298842826e-10,1.4591468361040318e-10,47.444581094963254
0.33190087959146775,1.1071021659639874e-10,1.5155706172068886e-10,49.31662401061929
0.34499684705497163,1.1507856113410685e-10,1.5741762507423892e-10,51.2625329947952
0.35860954820118307,1.196192694751457e-10,1.6350481068102535e-10,53.2852226153318
0.372759372031494,1.2433914265831664e-10,1.6982738180194303e-10,55.38772244152958
0.38746751204561314,1.2924525007417401e-10,1.7639444056461604e-10,57.57318158181475
0.40275599798502965,1.3434494005350515e-10,1.8321544106704225e-10,59.84487340045017
0.41864772882899515,1.3964585087360506e-10,1.903002029879409e-10,62.2062004203559
0.4351665070924416,1.451559221988305e-10,1.976589257234057e-10,64.66069941938208
0.4523370744772102,1.5088340697256974e-10,2.0530220307020183e-10,67.21204672766866
0.4701851489299853,1.568368837784389e-10,2.132410384768537e-10,69.86406373402458
0.4887374631624425,1.6302526968922028e-10,2.214868608844797e-10,72.62072260957544
0.508021804691302,1.6945783362278644e-10,2.3005154118017348e-10,75.48615225725142
0.5280670574582635,1.7614421022501622e-10,2.3894740928662324e-10,78.46464449602729
0.5489032450921556,1.8309441430049436e-10,2.4818727191256745e-10,81.56066048917614
0.5705615758781021,1.9031885581261087e-10,2.5778443098964845e-10,84.77883742616672
0.5930744895010559,1.9782835547552563e-10,2.677527028221939e-10,88.12399546821041
0.6164757056337162,2.0563416096135286e-10,2.7810643797750943e-10,91.60114496786271
0.6408002744415999,2.1374796374683977e-10,2.888605419453018e-10,95.2154939734918
0.6660846290809157,2.2218191662477236e-10,3.0003049659598743e-10,98.97245602985377
0.6923666402678725,2.3094865190633732e-10,3.1163238246877125e-10,102.87765828645956
0.7196856730011519,2.4006130034170236e-10,3.236829019215825e-10,106.93694992587696
0.7480826455225086,2.4953351078715545e-10,3.3619940317619494e-10,111.15641092459268
0.7776000906038036,2.593794706482588e-10,3.491999052931534e-10,115.54236115955473
0.8082822192522716,2.696139271296383e-10,3.627031241124514e-10,120.10136987403737
