h,speed_m_s,radius_m,r0_m,u0_m_s
0.0,3140.1760982260153,3.1845347799600503e-07,0.001,1.0
0.0,3262.9180435452213,3.0647413960587276e-07,0.001,1.0
0.0,3390.4576768505412,2.9494543076818987e-07,0.001,1.0
0.0,3522.9825282479414,2.8385040004649746e-07,0.001,1.0
0.0,3660.6874579450414,2.73172733670456e-07,0.001,1.0
0.0,3803.774942767191,2.628967315486109e-07,0.001,1.0
0.0,3952.4553738727795,2.530072841834919e-07,0.001,1.0
0.0,4106.947366105495,2.434898504551015e-07,0.001,1.0
0.0,4267.47807943847,2.34330436240128e-07,0.001,1.0
0.0,4434.2835529828535,2.255155738354441e-07,0.001,1.0
0.0,4607.609052052014,2.1703230215563682e-07,0.001,1.0
0.0,4787.709428791631,2.0886814767545106e-07,0.001,1.0
0.0,4974.849496905955,2.0101110608912638e-07,0.001,1.0
0.0,5169.304421031219,1.9344962465965797e-07,0.001,1.0
0.0,5371.360121328724,1.8617258523203018e-07,0.001,1.0
0.0,5581.313693892488,1.7916928788544506e-07,0.001,1.0
0.0,5799.473847589632,1.7242943520050843e-07,0.001,1.0
0.0,6026.161357975801,1.659431171182415e-07,0.001,1.0
0.0,6261.709538953051,1.5970079636865403e-07,0.001,1.0
0.0,6506.46473286371,1.5369329444745435e-07,0.001,1.0
0.0,6760.7868197408325,1.4791177812027706e-07,0.001,1.0
0.0,7025.049746464029,1.423477464345839e-07,0.001,1.0
0.0,7299.642076598735,1.3699301822014116e-07,0.001,1.0
0.0,7584.967561727369,1.318397200596946e-07,0.001,1.0
0.0,7881.445735112435,1.2688027471215404e-07,0.001,1.0
0.0,8189.512528564548,1.2210738997126608e-07,0.001,1.0
0.0,8509.620913422292,1.1751404794339225e-07,0.001,1.0
0.0,8842.241566586461,1.130934947286279e-07,0.001,1.0
0.0,9187.863562587989,1.0883923049008859e-07,0.001,1.0
0.0,9546.99509270714,1.0474499989676238e-07,0.001,1.0
0.0,9920.164212201356,1.008047829258759e-07,0.001,1.0
0.0,10307.919616740432,9.70127860112495e-08,0.001,1.0
0.0,10710.831449190693,9.3363433524627e-08,0.001,1.0
0.0,11129.492137934376,8.985135957745502e-08,0.001,1.0
0.0,11564.517267957064,8.647140013105405e-08,0.001,1.0
0.0,12016.546485983548,8.321858540358743e-08,0.001,1.0
0.0,12486.24444099364,8.008813256265394e-08,0.001,1.0
0.0,12974.301761500104,7.707543869277007e-08,0.001,1.0
0.0,13481.436071026445,7.41760740273912e-08,0.001,1.0
0.0,14008.393043276843,7.138577543552991e-08,0.001,1.0
0.0,14555.947498550619,6.870044015338559e-08,0.001,1.0
0.0,15124.904543012424,6.611611975177664e-08,0.001,1.0
0.0,15716.100752494263,6.362901433049745e-08,0.001,1.0
0.0,16330.405402568982,6.123546693107123e-08,0.001,1.0
0.0,16968.721746704905,5.893195815967609e-08,0.001,1.0
0.0,17631.988344379934,5.671510101234513e-08,0.001,1.0
0.0,18321.180441108976,5.458163589482508e-08,0.001,1.0
0.0,19037.311402412823,5.252842582977648e-08,0.001,1.0
0.0,19781.434203837765,5.0552451844264774e-08,0.001,1.0
0.0,20554.642979216525,4.865080853076032e-08,0.001,1.0
0.0,21358.074629446586,4.68206997751235e-08,0.001,1.0
0.0,22192.910494152424,4.505943464528857e-08,0.001,1.0
0.0,23060.37808868831,4.336442343460646e-08,0.001,1.0
0.0,23961.75290903711,4.1733173854023536e-08,0.001,1.0
