group,eta_decimal,chi_offset,chi,p1,scaled_p1,exit_lower,Sq_margin,log10_axial_ratio
global,-1.0,-44799.410476583325,0.9999999600000015,3.389130457430541,3.1814087321011157e+40,3.389130457430541,4.693546970885755e+38,1.0872581173320964e+44
global,-0.875,-39174.48455109459,0.9999999936318804,3.389130671126575,3.1814089326995986e+40,3.389130671126575,4.693547130938665e+38,1.0872461050022663e+44
global,-0.75,-33549.55862560585,0.9999999964516377,3.389130689043236,3.1814089495181374e+40,3.389130689043236,4.693547146080083e+38,1.0872392224568502e+44
global,-0.625,-27924.63270011712,0.9999999969934433,3.3891306924858537,3.181408952749755e+40,3.3891306924858537,4.69354715023648e+38,1.0872334696390156e+44
global,-0.5,-22299.70677462838,0.9999999966779892,3.389130690481467,3.1814089508682184e+40,3.389130690481467,4.693547150075941e+38,1.0872277964068648e+44
global,-0.375,-16674.780849139643,0.9999999953046692,3.389130681755429,3.181408942677004e+40,3.389130681755429,4.693547144656912e+38,1.0872214533562716e+44
global,-0.25,-11049.854923650906,0.9999999908207537,3.3891306532647527,3.181408915932538e+40,3.3891306532647527,4.6935471243448105e+38,1.0872132972968868e+44
global,-0.125,-5424.92899816217,0.999999965062452,3.3891304895972123,3.1814087622962736e+40,3.3891304895972123,4.693547003887026e+38,1.0872000079073531e+44
global,0.0,199.99692732656797,0.9999750006249843,3.388971870249066,3.181259864817816e+40,3.388971870249066,4.6934298322689225e+38,1.0871400719671124e+44
global,0.125,5824.922852815305,0.9999999696883952,3.3891305189903274,3.181408789887868e+40,3.3891305189903274,4.693547025599109e+38,1.0872012812210602e+44
global,0.25,11449.848778304042,0.9999999914464233,3.3891306572402398,3.1814089196643647e+40,3.3891306572402398,4.69354712728142e+38,1.0872139097915923e+44
global,0.375,17074.77470379278,0.9999999955182858,3.3891306831127426,3.1814089439511273e+40,3.3891306831127426,4.693547145659532e+38,1.0872218341200659e+44
global,0.5,22699.700629281517,0.999999996789959,3.38913069119292,3.181408951536066e+40,3.38913069119292,4.6935471506014764e+38,1.0872280514355576e+44
global,0.625,28324.626554770253,0.9999999970722275,3.3891306929864466,3.1814089532196666e+40,3.3891306929864466,4.693547150606258e+38,1.0872336396157275e+44
global,0.75,33949.55248025899,0.9999999965244761,3.389130689506049,3.1814089499525842e+40,3.389130689506049,4.693547146421953e+38,1.0872393251757473e+44
global,0.875,39574.47840574773,0.9999999937261053,3.389130671725277,3.181408933261606e+40,3.389130671725277,4.6935471313809144e+38,1.0872461467368962e+44
global,1.0,45199.40433123647,0.9999999600000015,3.389130457430541,3.1814087321011157e+40,3.389130457430541,4.693546970885755e+38,1.087258108002077e+44
chi,-0.0051555551664089307725335434309941888645473123500943014826238596921684064447182296,-32.0,0.9990243790993338,3.3829377402940453,3.1755955701054523e+40,3.3829377402940453,4.6889680452991024e+38,1.0871068764952414e+44
chi,-0.0047999949285510029784260746910491804060472835958301631330206816559807948858470684,-16.0,0.9961089281283408,3.3645036028981927,3.158291271431633e+40,3.3645036028981927,4.6752842386507456e+38,1.0870943436588913e+44
chi,-0.004666659839354280055635773913569802234109772812981111251919489892410440551270383,-10.0,0.990098976766399,3.3268413193732713,3.1229373305957607e+40,3.3268413193732713,4.647076248456011e+38,1.087085882383167e+44
chi,-0.0045333247501575571328454731360904240621722620301320593708182981288400862166936976,-4.0,0.941176396902372,3.036120484050053,2.850034939932927e+40,6.036120484050053,4.417455812283253e+38,1.0870697390120542e+44
chi,-0.0044888797204253161585820395435972980048597584358490420771179008743166347718348025,-2.0,0.7999998940858747,2.3260413316230424,2.183476940944908e+40,5.326041331623043,3.754837237298689e+38,1.0870586521002226e+44
chi,-0.0044666572055591956714503227473507349762035066387075334302677022470549090494053549,-1.0,0.4999999174741003,1.2235782171614709,1.1485844152005466e+40,4.223578217161471,2.346773196668068e+38,1.0870503508781336e+44
chi,-0.0044499903194096053061015351501658127047113177908514019451300532766086147575832692,-0.25,0.05882352485197088,0.12002390021581265,1.1266756739040198e+39,3.1200239002158128,2.76090988481601e+37,1.0870446204812338e+44
chi,-0.0044444346906930751843186059511041719475472548415660247834175036197931833269759073,-4.581101363489007e-95,1.3295309902925879e-156,6.3915648504608586e-40,5.999822220612609,3.0,0.4999111103061861,1.0870440712468339e+44
chi,-0.0044388790619765450625356767520425311903831918922806476217049539629777518963685454,0.25,0.0588235339654829,0.12002391919053033,1.1266758520214846e+39,3.12002391919053,2.7609103125629964e+37,1.0870446204812618e+44
chi,-0.0044222121758269546971868891548576089188910030444245161365673049925314576045464598,1.0,0.5000000820869114,1.223578719228459,1.1485848864955647e+40,4.223578719228459,2.346773969286063e+38,1.087050350878556e+44
chi,-0.0043999896609608342100551723586110458902347512472830074897171063652697318821170122,2.0,0.8000001047902735,2.326042274312793,2.18347782585667e+40,5.326042274312793,3.754838226249729e+38,1.0870586520991148e+44
chi,-0.004355544631228593235791738766117919832922247652999990196016709110746280437258117,4.0,0.9411765427185672,3.0361213110028653,2.850035716201333e+40,6.036121311002866,4.4174564966784575e+38,1.087069739002607e+44
chi,-0.0042222095420318703130014379886385416609847368701509383149155173471759261026814316,10.0,0.9900990413141227,3.326841721451802,3.12293770803067e+40,3.326841721451802,4.647076551413833e+38,1.0870858823404747e+44
chi,-0.0040888744528351473902111372111591634890472260873018864338143255836055717681047462,16.0,0.9961089689619219,3.3645038603296467,3.1582915130849675e+40,3.3645038603296467,4.675284430305144e+38,1.0870943435810708e+44
chi,-0.0037333142149772195961036684712141550305471973330377480842111475474179602092335851,32.0,0.999024399635833,3.3829378705258573,3.175595692355283e+40,3.3829378705258573,4.688968141688248e+38,1.0871068763225333e+44
critical,-0.0044444346906930751843193915963471216577431138354186017335736611280421693321030904,-3.5353570362437777e-20,1.249874937371839e-39,3.222229709695937e-39,30.247374257272575,3.0,1.6731689170459885,1.0870440712468339e+44
critical,-0.0044444346906930751843189987737256468026451843384923132584955823739176763295394989,-1.7676785181218888e-20,3.1246873434295973e-40,1.305755628685092e-39,12.25725126626841,3.0,0.9398813393592386,1.0870440712468339e+44
critical,-0.0044444346906930751843188023624149093750962195900291690209565429968554298282577031,-8.838392590609444e-21,7.811718358573993e-41,8.16221689694109e-40,7.661950000271965,3.0,0.6832315562535002,1.0870440712468339e+44
critical,-0.0044444346906930751843186452333663194330570477912586536309253114952056326272322665,-1.767678518121889e-21,3.1246873434295975e-42,6.495720272282537e-40,6.0975938976375135,3.0,0.530708852522975,1.0870440712468339e+44
critical,-0.0044444346906930751843186255922352456903021513164123392071714075574994079771040869,-8.838392590609445e-22,7.811718358573994e-43,6.4280191246545495e-40,6.034042191693376,3.0,0.5149433347287884,1.0870440712468339e+44
critical,-0.0044444346906930751843186157716697088189247030789891819952944555886462956520399971,-4.419196295304722e-22,1.9529295896434985e-43,6.405886128378417e-40,6.013265739295071,3.0,0.5073355608460393,1.0870440712468339e+44
critical,-0.0044444346906930751843186059511041719475472548415660247834175036197931833269759073,-4.581101363489007e-95,1.3295309902925879e-156,6.3915648504608586e-40,5.999822220612609,3.0,0.4999111103061861,1.0870440712468339e+44
critical,-0.0044444346906930751843186010408214035118585307228544461774790276353666271644438624,2.209598147652361e-22,4.882323974108746e-44,6.387333605886544e-40,5.995850311414819,3.0,0.4962676312898456,1.0870440712468339e+44
critical,-0.0044444346906930751843185961305386350761698066041428675715405516509400710019118175,4.419196295304722e-22,1.9529295896434985e-43,6.385055290901874e-40,5.99371163564599,3.0,0.4926699831092291,1.0870440712468339e+44
critical,-0.0044444346906930751843185928570167894523786332670733980179079993177433284771507168,5.892261727072963e-22,3.471874826032885e-43,6.3846213751285615e-40,5.993304314816193,3.0,0.4902970125642203,1.0870440712468339e+44
