group,eta_decimal,Y,radial_degree,Phi,U,p1,Sq_margin,angular_relative,axial_relative,pressure_relative
global,-1.0,0,18,1.0,-3.98,0.0,4.693546970885755e+38,2.3365424397087115e-82,8.313593610249944e-82,5.909698580300438e-82
global,-1.0,1,18,0.7699866301786024,-3.98,0.547678263740715,4.693546970885755e+38,3.180613836741132e-39,2.5969515738305432e-82,7.264583535858855e-30
global,-1.0,2,18,0.5767248218702341,-3.98,1.2235784078646645,4.693546970885755e+38,1.1131800298283954e-33,1.647605826505437e-81,3.37807949483931e-24
global,-1.0,3,18,0.41573549601779464,-3.98,2.1104882360286514,4.693546970885755e+38,2.2822310330695626e-30,1.1221608493190444e-82,9.56123732055568e-21
global,-1.0,4,18,0.2829800060616654,-3.98,3.389130457430541,4.693546970885755e+38,5.947277738455467e-28,7.395819430983369e-83,3.642846453119984e-18
global,-1.0,4.1,18,0.2711140746642034,-3.98,3.552109810711677,4.693546970885755e+38,9.68169695989885e-28,4.546597712794516e-82,6.186840962130411e-18
global,-0.875,0,18,1.0,-3.48,0.0,4.693547130938665e+38,3.314858903958391e-82,1.873640149689474e-83,7.466486574134496e-82
global,-0.875,1,18,0.7699866230872373,-3.48,0.5476782839971104,4.693547130938665e+38,3.18061579149471e-39,2.769592156591748e-82,7.264588066269393e-30
global,-0.875,2,18,0.5767248100037626,-3.48,1.2235784591530665,4.693547130938665e+38,1.113180726623049e-33,3.5953162076999806e-82,3.378081677751441e-24
global,-0.875,3,18,0.4157354812634069,-3.48,2.1104883408455004,4.693547130938665e+38,2.28223249566901e-30,2.6645361682936517e-82,9.561243782675645e-21
global,-0.875,4,18,0.2829799899342347,-3.48,3.389130671126575,4.693547130938665e+38,5.947281677726888e-28,2.274796162724257e-84,3.642849071269481e-18
global,-0.875,4.1,18,0.27111405846999986,-3.48,3.5521100413131146,4.693547130938665e+38,9.681703399254789e-28,6.012847909216463e-82,6.186845442487229e-18
global,-0.75,0,18,1.0,-2.98,0.0,4.693547146080083e+38,4.293175434035822e-82,5.415793062647169e-82,1.005777793071398e-81
global,-0.75,1,18,0.7699866224926846,-2.98,0.5476782856954431,4.693547146080083e+38,3.180615955384824e-39,3.742571247616251e-82,7.264588446107298e-30
global,-0.75,2,18,0.5767248090088564,-2.98,1.2235784634531786,4.693547146080083e+38,1.1131807850435871e-33,3.6482178474659015e-82,3.3780818607707885e-24
global,-0.75,3,18,0.4157354800263725,-2.98,2.110488349633534,4.693547146080083e+38,2.282232618296024e-30,5.132732862196123e-82,9.561244324471619e-21
