radial_degree,Phi_error,angular_relative,pressure_relative
4,0.0003993147969062336,0.011421785829811392,1.0
8,4.76666901929489e-10,3.9315632373931775e-08,0.0006534414801495417
12,2.060095616426871e-17,3.4060180658319422e-15,8.967620826296e-09
18,2.818308108343223e-30,9.681702186057714e-28,6.186844598372386e-18
22,9.197127319192281e-40,4.582914575199009e-37,5.7191363492167125e-25
