lambda_value,raw_status,raw_coefficient_relative_error,stable_coefficient_relative_error,raw_moment_relative_remainder,stable_moment_relative_remainder,reference_moment_relative_remainder,raw_condition,transformed_condition,stable_coefficient_1,stable_coefficient_2
0.01,solved,1.5479232188126018e-14,8.723089682945128e-17,8.82730370206941e-14,1.7714938040256877e-14,1.4375890537637406e-69,533.8427023608393,10.59192932665169,86.55005748429164,-58.033371656194426
0.0001,solved,3.0551543207994497e-12,3.4416954101035043e-16,1.0691552372536481e-11,2.272092443070727e-12,5.5605265423650574e-67,53456.59069174659,10.510148690466368,8635.622081601527,-5757.414721067685
1e-06,solved,5.730155243401523e-11,1.867083154037284e-16,2.005551544524846e-10,6.534781946174595e-16,2.3774213873609224e-65,5345741.874476234,10.509341496580733,863543.2451730801,-575695.8301153868
1e-08,solved,5.679240305270379e-09,4.810002379309584e-16,1.7375561467051918e-08,1.8626452811513384e-08,3.0393778992261414e-63,534574271.1774384,10.50933342569902,86354305.55850542,-57569537.37233695
1e-10,solved,1.216241568515936e-07,1.0442703755564683e-16,1.958501241629827e-06,4.768371580783345e-06,1.9430092403784825e-61,53457307672.53189,10.509333344990322,8635430536.891785,-5756953691.594522
1e-12,solved,0.00018642319405954487,6.454998881227127e-17,0.0006524811792074992,0.00030517578124921054,2.486126056844068e-59,5347305072509.119,10.509333344183238,863543053670.2197,-575695369113.8131
1e-14,solved,0.004359878727784142,2.0983069052868477e-16,0.015259575547244284,0.01953124999999889,1.5898716020426592e-57,544721524623907.8,10.509333344175147,86354305367003.0,-57569536911335.664
1e-16,solved,1.5476020666997286,7.123177116742014e-17,2.0,2.4999999999999996,2.0413317588101675e-55,inf,10.509333344175072,8635430536700282.0,-5756953691133522.0
1e-18,singular_float64_matrix,,2.685798175319892e-16,,162.5,5.078590787669303e-56,inf,10.50933334417508,8.63543053670028e+17,-5.75695369113352e+17
