lambda_value,nominal_perturbation,actual_perturbation,relative_input_change,relative_coefficient_change,measured_amplification
1e-10,1e-14,9.992007221626409e-15,7.065416064076987e-15,5.03716003733231e-05,7129318346.789186
1e-10,1e-12,1.000088900582341e-12,7.071696433911722e-13,0.005041637512918658,7129318346.785803
1e-10,1e-10,1.000000082740371e-10,7.07106839692825e-11,0.504118976535981,7129318346.785839
1e-10,1e-08,9.99999993922529e-09,7.071067768891265e-09,50.41189317612249,7129318346.785837
1e-10,1e-06,9.999999999177334e-07,7.071067811283762e-07,5041.1893478352085,7129318346.785835
