decimal_digits,lambda_value,coefficient_relative_error,moment_relative_remainder,remainder_after_float64_storage
20,1e-12,5.386236238695317e-10,1.8897301570495937e-09,0.00030517766643190826
30,1e-12,1.1142198818379378e-19,3.9024165643875205e-19,0.00030517578124921054
40,1e-12,5.541502158413469e-32,1.9395257554420154e-31,0.00030517578124921054
50,1e-12,1.6108480586625414e-39,5.6379682053110505e-39,0.00030517578124921054
