step_over_a,mass_residual,x_momentum_residual,y_momentum_residual,energy_residual
0.02,4.516585946912066e-08,7.441453700463008e-08,7.441453700463008e-08,1.9493414893378969e-07
0.01,2.8250862205148053e-09,4.6531315467390755e-09,4.6531315467390755e-09,1.219322512402421e-08
0.005,1.7661613838093615e-10,2.908586704819527e-10,2.908586704819527e-10,7.622892872483078e-10
0.0025,1.109667913112844e-11,1.8176626870314294e-11,1.8176626870314294e-11,4.773589856732485e-11
