peak_mach_exterior,radius_over_a,radius_m,temperature_ratio,density_ratio,pressure_ratio,density_deficit,pressure_deficit,incompressible_pressure_ratio,swirl_over_exterior_sound_speed,local_mach,mean_free_path_m,kn_temperature,kn_density,kn_pressure,shear_rate_s_inv,collision_shear_ratio,temperature_K,pressure_Pa
0.1,0.0,0.0,0.9945634363430819,0.9864639585304248,0.9811009844246188,0.013536041469575181,0.018899015575381244,0.9809720272007867,0.0,0.0,6.812235586876353e-08,0.0,0.0,0.0,0.0,0.0,294.5399616730037,99385.52972221389
0.1,0.00375,3.75e-06,0.9945635127942208,0.9864641481017852,0.9811012483816699,0.013535851898214815,0.018898751618330063,0.9809722947797728,0.0006182661293135432,0.000619953610868986,6.812234420515715e-08,2.7927798069316258e-09,6.9819495173290654e-09,9.774729324260692e-09,0.7998441720037146,1.1742863337621835e-10,294.5399843140085,99385.55646106316
0.1,0.0075,7.5e-06,0.9945637421411869,0.9864647168000026,0.9811020402308568,0.013535283199997397,0.018897959769143192,0.9809730974941544,0.0012365061757998494,0.0012398809247622087,6.812230921533886e-08,5.5853198212579654e-09,1.3963299553144917e-08,1.9548619374402882e-08,3.1993092018746165,4.697043301560352e-10,294.5400522351125,99385.63667538579
0.1,0.01125,1.1249999999999999e-05,0.9945641243646299,0.9864656645774882,0.9811033599062824,0.01353433542251177,0.018896640093717654,0.9809744352762049,0.0018546940584656018,0.001859755646583201,6.812225090231155e-08,8.377380285275866e-09,2.0943450713189667e-08,2.9320830998465534e-08,7.198192638309547,1.0567964814637645e-09,294.54016543058515,99385.7703585064
0.1,0.015,1.5e-05,0.994564659432302,0.9864669913549347,0.9811052072981282,0.013533008645065351,0.018894792701871797,0.980976308013057,0.002472803699985146,0.002479551484993896,6.812216927107939e-08,1.1168721511079086e-08,2.7921803777697726e-08,3.909052528877681e-08,12.796157086194214,1.878654076409166e-09,294.5403238908762,99385.95749930039
0.1,0.01875,1.875e-05,0.9945653472990627,0.9864686970213268,0.9811075822526697,0.013531302978673174,0.018892417747330293,0.9809787155467192,0.003090809028533867,0.003099242154293339,6.812206432864718e-08,1.3959103915438383e-08,3.4897759788595964e-08,4.885686370403435e-08,19.992730242186365,2.9352057079406263e-09,294.5405276026174,99386.19808219543
0.1,0.0225,2.2499999999999998e-05,0.9945661879068849,0.9864707814339575,0.9811104845722969,0.013529218566042535,0.018889515427703105,0.9809816576740971,0.0037086839796210288,0.003718801376295823,6.812193608401943e-08,1.6748288054659613e-08,4.187072013664904e-08,5.861900819130865e-08,28.787304944525715,4.226359581038276e-09,294.5407765486239,99386.49208717367
0.1,0.02625,2.625e-05,0.9945671811848635,0.9864732444184467,0.9811139140155415,0.013526755581553262,0.018886085984458484,0.9809851341470225,0.0043264024979218895,0.004338202882208242,6.812178454819895e-08,1.953603465941242e-08,4.884008664853107e-08,6.837612130794349e-08,39.179139237064035,5.752003523245688e-09,294.5410707078973,99386.83948977436
0.1,0.03,3e-05,0.9945683270492253,0.9864760857687664,0.9811178702971101,0.013523914231233594,0.018882129702889952,0.9809891446722884,0.004943938539108914,0.004957420414506482,6.812160973418523e-08,2.2322104669522274e-08,5.58052616738057e-08,7.812736634332797e-08,51.16735644750711,7.512004997538449e-09,294.54141005562803,99387.24026109725
0.1,0.03375,3.375e-05,0.9945696254033399,0.9864793052472683,0.9811223530879227,0.013520694752731708,0.018877646912077307,0.9809936889116899,0.00556126607168191,0.005576427728810644,6.812141165697265e-08,2.510625926871853e-08,6.276564817179634e-08,8.787190744051486e-08,64.7509452798581,9.506211117527484e-09,294.5417945631991,99387.69436780657
0.1,0.0375,3.75e-05,0.9945710761377349,0.9864829025847172,0.9811273620151584,0.013517097415282859,0.018872637984841633,0.980998766482072,0.006178359078796888,0.006195198595758904,6.812119033354827e-08,2.7888259919331145e-08,6.972064979832787e-08,9.760890971765901e-08,79.9287599210504,1.1734448664994643e-08,294.5422241981902,99388.20177213554
0.1,0.041249999999999995,4.124999999999999e-05,0.9945726791301094,0.9864868774803278,0.9811328966623056,0.01351312251967219,0.018867103337694365,0.981004376955383,0.006795191560093501,0.006813706802879848,6.812094578288924e-08,3.066786839692887e-08,7.66696709923222e-08,1.0733753938925107e-07,96.69952016175593,1.41965241097577e-08,294.54269892438185,99388.76243189156
0.1,0.045,4.4999999999999996e-05,0.994574434245353,0.9864912296018069,0.9811389565692197,0.013508770398193131,0.018861043430780374,0.9810105198587352,0.007411737533520839,0.007431926156463029,6.812067802596028e-08,3.3444846824891575e-08,8.361211706222895e-08,1.1705696388712053e-07,115.06181153135289,1.6892223631861523e-08,294.54321870176125,99389.37630046195
0.1,0.04875,4.8750000000000006e-05,0.9945763413355632,0.9864959585853985,0.9811455412321849,0.013504041414601525,0.0188544587678151,0.9810171946744712,0.008027971037161437,0.008049830483427615,6.812038708571038e-08,3.6218957708909446e-08,9.054739427227364e-08,1.267663519811831e-07,135.01408544703526,1.9821313146091647e-08,294.543783486527,99390.04332682033
0.1,0.0525,5.25e-05,0.9945784002400675,0.9865010640359346,0.9811526501039842,0.013498935964065338,0.018847349896015744,0.9810244008402361,0.00864386613105329,0.008667393633188893,6.812007298706966e-08,3.8989963971401854e-08,9.747490992850466e-08,1.3646487389990653e-07,156.5546593770449,2.298353832880656e-08,294.54439323109597,99390.7634555336
0.1,0.056249999999999994,5.625e-05,0.9945806107854449,0.9865065455268899,0.9811602825939735,0.013493454473110124,0.018839717406026545,0.9810321377490572,0.00925939689900973,0.009284589479522475,6.811973575694563e-08,4.175762898584882e-08,1.0439407246462208e-07,1.461517014504709e-07,179.6817170180044,2.6378624647083915e-08,294.54504788410947,99391.5366267695
0.1,0.06,6e-05,0.994582972785551,0.9865124026004399,0.9811684380681619,0.01348759739956009,0.01883156193183812,0.9810404047494286,0.009874537450436942,0.009901391922425956,6.811937542421938e-08,4.452171661102754e-08,1.1130429152756888e-07,1.5582600813859644e-07,204.39330848632721,3.000627739017622e-08,294.5457473904409,99392.3627763048
0.1,0.06375,6.375e-05,0.9945854860415437,0.9865186347675251,0.981177115849299,0.013481365232474929,0.018822884150700953,0.981049201145403,0.010489261922148968,0.010517774889977906,6.811899201974132e-08,4.728199122514724e-08,1.1820497806286813e-07,1.6548696928801537e-07,230.68735052368078,3.3866181703270725e-08,294.54649169120313,99393.24183553399
0.1,0.0675,6.75e-05,0.9945881503419112,0.9865252415079178,0.9811863152169671,0.01347475849208229,0.01881368478303292,0.9810585261966891,0.011103544480180026,0.011133712340193943,6.811858557632669e-08,5.003821775987487e-08,1.2509554439968722e-07,1.7513376215956208e-07,258.5616267164749,3.795800262354794e-08,294.54728072375696,99394.17373147876
0.1,0.07125,7.125e-05,0.9945909654625017,0.986532222270294,0.981196035407679,0.013467777729706028,0.018803964592321035,0.9810683791187558,0.011717359321593946,0.011749178262879726,6.81181561287509e-08,5.279016173424491e-08,1.319754043356123e-07,1.847655660698572e-07,288.01378772934726,4.2281385118533175e-08,294.54811442171984,99395.15838679788
0.1,0.075,7.5e-05,0.9945939311665548,0.9865395764723098,0.9812062756149826,0.013460423527690156,0.018793724385017314,0.9810787590829418,0.012330680676290564,0.01236414668148068,6.811770371374437e-08,5.553758928844584e-08,1.3884397322111465e-07,1.9438156250956046e-07,319.04135155261486,4.683595412673442e-08,294.5489927149752,99396.19571979775
0.1,0.07875,7.875e-05,0.994597047204735,0.9865473035006814,0.9812170349895712,0.013452696499318528,0.018782965010428778,0.9810896652165721,0.012943482808808875,0.012978591654928243,6.811722836998733e-08,5.828026721747652e-08,1.4570066804369134e-07,2.0398093526116787e-07,351.641703763659,5.162131460056038e-08,294.5499155296822,99397.28564444356
0.1,0.08249999999999999,8.249999999999999e-05,0.9946003133151657,0.9865554027112697,0.9812283126393984,0.013444597288730311,0.018771687360601697,0.98110109660308,0.013555740020126798,0.013592487279482474,6.811673013810412e-08,6.10179630046654e-08,1.5254490751166354e-07,2.1356287051632894e-07,385.8120978022101,5.6637051551511185e-08,294.5508827882863,99398.42807037105
0.1,0.08625,8.625e-05,0.9946037292234672,0.9865638734291687,0.9812401076298,0.013436126570831238,0.01875989237020005,0.9811130522821353,0.014167426649457356,0.014205807690570803,6.811620906065734e-08,6.375044485504569e-08,1.5937611213761423e-07,2.2312655699265992e-07,421.5496552594964,6.188273009763512e-08,294.5518944095298,99399.62290289873
0.1,0.09,8.999999999999999e-05,0.9946072946427941,0.9865727149487994,0.9812524189836218,0.013427285051200612,0.01874758101637815,0.9811255312497794,0.01477851707604109,0.014818527064622755,6.81156651821417e-08,6.647748172857922e-08,1.6619370432144807e-07,2.326711860500273e-07,458.851366181217,6.73578955132427e-08,294.55295030846344,99400.8700430409
0.1,0.09375,9.375e-05,0.9946110092738758,0.9865819265340058,0.9812652456813523,0.013418073465994206,0.018734754318647656,0.9811385324585655,0.015388985720934558,0.015430619620900466,6.81150985489776e-08,6.919884337322295e-08,1.729971084330574e-07,2.4219595180628035e-07,497.7140893843017,7.306207328087101e-08,294.5540503964583,99402.16938752099
0.1,0.0975,9.750000000000001e-05,0.9946148728050586,0.9865915074181572,0.9812785866612613,0.013408492581842877,0.018721413338738717,0.9811520548177047,0.0159988070487947,0.01604205962332475,6.811450920950439e-08,7.191430035783015e-08,1.797857508945754e-07,2.517000512524056e-07,538.1345527874157,7.899476914548913e-08,294.5551945812181,99403.52082878577
0.1,0.10124999999999999,0.00010125,0.9946188849123484,0.9866014568042528,0.9812924408195445,0.013398543195747143,0.01870755918045555,0.9811660971932195,0.016607955569658973,0.016652821382296647,6.811389721397337e-08,7.462362410488055e-08,1.8655906026220143e-07,2.61182684367082e-07,580.1093537551632,8.515546917093595e-08,294.55638276679196,99404.92425501985
0.1,0.105,0.000105,0.9946230452594573,0.9866117738650324,0.9813068070104737,0.01338822613496757,0.018693192989526316,0.9811806584081009,0.01721640584072099,0.01726287925651415,6.811326261454063e-08,7.732658692303229e-08,1.9331646730758075e-07,2.7064305423061304e-07,623.6349594559506,9.154363979858194e-08,294.5576148535883,99406.37955016099
0.1,0.10875,0.00010875,0.9946273534978498,0.986622457743089,0.9813216840465527,0.01337754225691103,0.018678315953447308,0.9811957372424741,0.01782413246810153,0.01787220765478392,6.811260546525936e-08,8.002296203948831e-08,2.0005740509872083e-07,2.800803671382091e-07,668.7077072334555,9.815872790820392e-08,294.5588907383882,99407.8865939158
0.1,0.11249999999999999,0.0001125,0.994631809266791,0.986633507550987,0.9813370706986784,0.013366492449012949,0.018662929301321643,0.9812113324337686,0.018431110108614767,0.018480781037827958,6.811192582207224e-08,8.271252363217248e-08,2.0678130908043124e-07,2.894938327126037e-07,715.3238049916579,1.0500016088106464e-07,294.5602103143601,99409.44526177611
0.1,0.11624999999999999,0.00011624999999999999,0.994636412193398,0.9866449223713846,0.9813529656963077,0.013355077628615415,0.018647034303692255,0.9812274426768933,0.01903731347152954,0.01908857392008487,6.811122374280325e-08,8.539504686170642e-08,2.134876171542661e-07,2.988826640159725e-07,763.4793315933828,1.1206734666518578e-07,294.5615734710748,99411.05542503597
0.1,0.12,0.00012,0.9946411618926915,0.9866567012571588,0.9813693677276306,0.01334329874284126,0.018630632272369434,0.9812440666244202,0.01964271732032544,0.01969556087150564,6.811049928714933e-08,8.807030790318243e-08,2.201757697579561e-07,3.082460776611385e-07,813.170237272298,1.1935967384280383e-07,294.5629800945206,99412.71695080899
0.1,0.12375,0.00012375,0.9946460579676488,0.9866688432315358,0.9813862754397472,0.013331156768464166,0.018613724560252825,0.9812612028867708,0.020247296474443614,0.020301716519343704,6.81097525166719e-08,9.073808397772519e-08,2.2684520994431305e-07,3.1758329392203824e-07,864.3923440583196,1.268765116999992e-07,294.5644300671192,99414.42970204639
0.1,0.1275,0.0001275,0.9946511000092602,0.9866813472882253,0.9814036874388521,0.01331865271177472,0.01859631256114792,0.9812788500324104,0.02085102581103208,0.020907015549939168,6.810898349478791e-08,9.339815338383621e-08,2.3349538345959055e-07,3.2689353684342676e-07,917.1413462163634,1.3461721029848543e-07,294.5659232677424,99416.19353755572
0.1,0.13125,0.00013125000000000002,0.994656287596585,0.9866942123915575,0.9814216022904229,0.01330578760844252,0.018578397709577116,0.9812970065880473,0.021453880266685377,0.02151143271049692,6.810819228676071e-08,9.605029552851411e-08,2.401257388212853e-07,3.361760343497994e-07,971.4128106983894,1.4258110054954843e-07,294.5674595717286,99418.00831201984
