peak_mach_exterior,center_density_deficit,center_density_ratio,center_temperature_ratio,center_pressure_ratio,center_incompressible_pressure_ratio,center_pressure_difference_over_exterior,max_local_mach,max_thermodynamic_kn_proxy,max_collision_shear_ratio
0.01,0.00013590854968109222,0.999864091450319,0.9999456343634309,0.9998097332025045,0.9998097202720079,1.293049667339119e-08,0.010000100002483452,1.0985544263237763e-08,6.053415694150091e-07
0.010246433413858919,0.00014268927744685506,0.9998573107225531,0.9999429218456077,0.9998002407126014,0.9998002264596271,1.4252974356310233e-08,0.010246540993352853,1.1533718023269964e-08,6.202598296794464e-07
0.010498939770464455,0.0001498082929980722,0.999850191707002,0.9999400739894826,0.9997902746738979,0.9997902589631892,1.571070873396252e-08,0.010499055501072652,1.2109248619159613e-08,6.355457728031684e-07
0.010757668727417933,0.0001572824718211731,0.9998427175281789,0.9999370840424894,0.9997798114662455,0.9997797941487129,1.7317532630123367e-08,0.010757793226744475,1.2713501633308211e-08,6.512084632878778e-07
0.011022773630384028,0.00016512953107715393,0.9998348704689228,0.9999339449151495,0.9997688262917175,0.9997688072030232,1.9088694291902186e-08,0.011022907562829457,1.334791084803657e-08,6.672571892852465e-07
0.011294411603976987,0.0001733680715643073,0.9998266319284357,0.9999306491642621,0.9997572931159185,0.9997572720749176,2.104100094157957e-08,0.011294555684284273,1.401398165506022e-08,6.837014681288892e-07
0.011572743644886573,0.00018201762177138986,0.9998179823782286,0.9999271889752557,0.9997451846063738,0.999745161413395,2.3192978870767433e-08,0.011572898641955768,1.471329463576374e-08,7.005510520042187e-07
0.011857934717298929,0.000191098684125197,0.9998089013158749,0.9999235561436584,0.9997324720678535,0.9997324465028044,2.556504918871383e-08,0.01185810145829089,1.5447509320866165e-08,7.178159337596952e-07
0.012150153850668947,0.0002006327835416666,0.9997993672164583,0.9999197420556447,0.9997191253744778,0.9997190971947566,2.817972122315382e-08,0.01215033322542006,1.6218368138505684e-08,7.355063528630833e-07
0.012449574239902091,0.00021064251839504025,0.9997893574816049,0.9999157376676113,0.9997051128984461,0.9997050818366394,3.106180668233094e-08,0.01244976720567353,1.702770056022983e-08,7.536328015064283e-07
0.012756373348005005,0.00022115161402528274,0.9997788483859747,0.9999115334847332,0.9996904014352206,0.9996903671965661,3.4238654467166896e-08,0.0127565809345919,1.7877427454859693e-08,7.72206030863556e-07
0.013070733011265784,0.00023218497890991333,0.9997678150210901,0.9999071195384511,0.9996749561249891,0.9996749183845788,3.7740410352427034e-08,0.013070956326493586,1.8769565660703757e-08,7.912370575040228e-07
0.013392839547026261,0.00024376876363264873,0.9997562312363674,0.9999024853628345,0.9996587403702244,0.9996586987699208,4.160030364630529e-08,0.013393079782663605,1.970623278713006e-08,8.107371699675324e-07
0.013722883864110103,0.00025593042278780035,0.9997440695772122,0.9998976199697661,0.9996417157491427,0.9996416698941812,4.5854961494562474e-08,0.013723142302229804,2.068965225706644e-08,8.307179355029597e-07
0.014061061575972316,0.00026869877996625423,0.9997313012200337,0.9998925118228875,0.9996238419248634,0.9996237913801065,5.054475693544447e-08,0.014061339595794427,2.17221586025891e-08,8.511912069762451e-07
0.014407573116637049,0.0002821040959760526,0.9997178959040239,0.999887148810246,0.9996050765500528,0.9996050208358609,5.5714191926625745e-08,0.01440787220189049,2.2806203026380114e-08,8.721691299515057e-07
0.014762623859492542,0.00029617814045817365,0.9997038218595419,0.9998815182155747,0.9995853751668311,0.9995853137545114,6.141231967404792e-08,0.014762945606334696,2.3944359242488583e-08,8.936641499498956e-07
0.01512642423901353,0.0003109542670660248,0.9996890457329339,0.9998756066881421,0.9995646911017073,0.9995646234084976,6.769320970434478e-08,0.015126770364549976,2.5139329610517052e-08,9.156890198908062e-07
0.015499189875483372,0.00032646749238549267,0.9996735325076145,0.9998694002110956,0.9995429753552957,0.9995429007388347,7.461646100992425e-08,0.015499562226933385,2.6393951578079478e-08,9.382568077201918e-07
0.015881141702789668,0.0003427545787811082,0.9996572454212189,0.9998628840682258,0.9995201764865581,0.9995200942387901,8.224776804066636e-08,0.015881542267346317,2.771120444713773e-08,9.613809042308974e-07
0.016272506099369238,0.0003598541213630399,0.9996401458786369,0.9998560428090731,0.9994962404912985,0.9994961498317558,9.065954265086162e-08,0.0162729370148068,2.9094216480626226e-08,9.850750310800296e-07
0.01667351502238001,0.0003778066392792229,0.9996221933607208,0.9998488602122934,0.9994711106746293,0.9994710107430266,9.993160277055324e-08,0.016673978588465362,3.054627236661883e-08,1.0093532490085645e-06
0.01708440614517932,0.0003966546715469876,0.999603345328453,0.9998413192471947,0.9994447275171096,0.9994446173651813,1.1015192824537223e-07,0.017084904835948198,3.2070821058180366e-08,1.03422996626851e-06
0.017505422998190204,0.00041644287764910947,0.9995835571223509,0.9998334020333565,0.999417028534244,0.9994169071167477,1.214174962793635e-07,0.017505959475153952,3.367148400798278e-08,1.0597199472631463e-06
0.01793681511323905,0.0004372181431302513,0.9995627818568698,0.9998250897982328,0.9993879481290162,0.9993878142938147,1.3383520147680628e-07,0.017937392239592398,3.5352063817750914e-08,1.085838321405971e-06
0.018378838171450234,0.0004590296904413758,0.9995409703095586,0.9998163628326406,0.9993574174371114,0.9993572699142422,1.475228691427688e-07,0.018379459027355955,3.711655332364298e-08,1.1126005922042124e-06
0.018831754154785343,0.000481929195291852,0.9995180708047081,0.9998072004440275,0.9993253641644705,0.9993252015540963,1.6261037416587243e-07,0.01883242205381749,3.896914513976469e-08,1.1400226465728876e-06
0.019295831501316908,0.0005059709087817389,0.9994940290912182,0.9997975809074072,0.9992917124167978,0.9992915331759255,1.7924087236664832e-07,0.019296550008150427,4.091424168317108e-08,1.1681207643856268e-06
0.01977134526432851,0.0005312117856000626,0.9994687882143999,0.9997874814138477,0.9992563825206252,0.9992561849484669,1.975721583002965e-07,0.019772118213769806,4.2956465704923924e-08,1.1969116282686231e-06
0.02025857727533569,0.0005577116185889239,0.999442288381411,0.9997768780163883,0.999219290835522,0.9992190730573589,2.1777816305856845e-07,0.020259408792795718,4.5100671353056666e-08,1.2264123336443028e-06
0.020757816311124264,0.000585533179987932,0.9994144668200121,0.9997657455732594,0.9991803495570108,0.9991801095064078,2.400506030619809e-07,0.020758710834643635,4.735195579464914e-08,1.2566403990315074e-06
0.021269358264904944,0.0006147423696888345,0.9993852576303112,0.9997540576882685,0.9991394665097393,0.9991392019089399,2.646007993822863e-07,0.021270320568848707,4.971567142564018e-08,1.2876137766091774e-06
0.02179350632168584,0.0006454083708463227,0.9993545916291536,0.9997417866482122,0.9990965449304247,0.999096253268743,2.9166168169503237e-07,0.02179454154223451,5.219743869850942e-08,1.3193508630507925e-06
0.022330571137966736,0.0006776038132078689,0.9993223961867921,0.9997289033571651,0.9990514832400762,0.9990511617500778,3.2148999840053705e-07,0.02233168480053986,5.480315959954687e-08,1.3518705106370072e-06
0.02288087102586161,0.0007114049445431212,0.9992885950554569,0.9997153772674902,0.9990041748049663,0.9990038204362154,3.543687508988924e-07,0.02288206907462042,5.7539031809101386e-08,1.3851920386542131e-06
0.02344473214175848,0.0007468918105719013,0.9992531081894281,0.9997011763074074,0.9989545076858043,0.9989541170759259,3.906098784423051e-07,0.02344602097134533,6.041156357996691e-08,1.4193352450869695e-06
0.024022488679628626,0.0007841484438092555,0.9992158515561907,0.9996862668049482,0.9989023643745356,0.9989019338173188,4.305572167684346e-07,0.024023875169312838,6.34275893709319e-08,1.4543204186125598e-06
0.024614483069099437,0.0008232630617662847,0.9991767369382337,0.9996706134081156,0.9988476215181634,0.9988471469284046,4.7458975882541665e-07,0.02461597461951216,6.659428627448468e-08,1.4901683509061524e-06
0.025221066178408514,0.000864328274966771,0.9991356717250333,0.9996541790010607,0.9987901496289614,0.9987896265037125,5.231252488968607e-07,0.02522267075106295,6.991919127975138e-08,1.5269003492653928e-06
