outer_radius_over_a,intervals,radial_step_over_a,center_error_vs_infinite_domain,exact_finite_boundary_error,radial_integration_error
2.0,256,0.0078125,0.006485647611471301,0.006485647615518317,-4.046984969363621e-12
2.5,320,0.0078125,0.0006815431794119364,0.0006815431837663336,-4.3544057248823265e-12
3.0,384,0.0078125,4.355522816523738e-05,4.35552327645723e-05,-4.599320924114636e-12
3.5,448,0.0078125,1.6887784407559892e-06,1.6887830853849032e-06,-4.644618023519342e-12
4.0,512,0.0078125,3.971168971439454e-08,3.971633753878931e-08,-4.647726647988293e-12
4.5,576,0.0078125,5.618754350678046e-10,5.665231171925341e-10,-4.647726647988293e-12
5.0,640,0.0078125,2.5357493882438575e-13,4.901385334048085e-12,-4.647837670290755e-12
5.5,704,0.0078125,-4.622746629934227e-12,2.572010972183027e-14,-4.6485038041055304e-12
6.0,768,0.0078125,-4.64805971489568e-12,8.18614713067619e-17,-4.648170737198143e-12
