time,phase,vorticity_ratio,wx,wy
0.0,0.0,1.0,-0.0,0.0
0.0,0.02454369260617026,0.9996988186962042,-0.023808488795856057,0.005952122198964014
0.0,0.04908738521234052,0.9987954562051724,-0.04760263624831823,0.011900659062079558
0.0,0.07363107781851078,0.9972904566786902,-0.07136810965268163,0.017842027413170407
0.0,0.09817477042468103,0.9951847266721969,-0.09509059357641576,0.02377264839410394
0.0,0.1227184630308513,0.99247953459871,-0.11875579848224577,0.02968894962056144
0.0,0.14726215563702155,0.989176509964781,-0.1423494693356354,0.03558736733390885
0.0,0.1718058482431918,0.9852776423889412,-0.16585739419148673,0.041464348547871684
0.0,0.19634954084936207,0.9807852804032304,-0.18926541275488454,0.047316353188721134
0.0,0.22089323345553233,0.9757021300385286,-0.21255942491072846,0.053139856227682115
0.0,0.2454369260617026,0.970031253194544,-0.23572539921711494,0.058931349804278735
0.0,0.2699806186678728,0.9637760657954398,-0.2587493813573535,0.06468734533933837
0.0,0.2945243112740431,0.9569403357322088,-0.2816175025455248,0.0704043756363812
0.0,0.3190680038802134,0.9495281805930367,-0.30431598788051956,0.07607899697012989
0.0,0.3436116964863836,0.9415440651830208,-0.3268311646435227,0.08170779116088067
0.0,0.36815538909255385,0.932992798834739,-0.3491494705339489,0.08728736763348723
0.0,0.39269908169872414,0.9238795325112867,-0.3712574618388652,0.0928143654597163
0.0,0.4172427743048944,0.9142097557035307,-0.3931418215309804,0.0982854553827451
0.0,0.44178646691106466,0.9039892931234433,-0.41478936729032484,0.10369734182258121
0.0,0.4663301595172349,0.8932243011955153,-0.436187059444787,0.10904676486119674
0.0,0.4908738521234052,0.881921264348355,-0.4573220088247244,0.1143305022061811
0.0,0.5154175447295755,0.8700869911087115,-0.47818148452691706,0.11954537113172926
0.0,0.5399612373357456,0.8577286100002721,-0.49875292158318807,0.12468823039579702
0.0,0.5645049299419159,0.8448535652497071,-0.5190239285290703,0.12975598213226758
0.0,0.5890486225480862,0.8314696123025452,-0.5389822948679615,0.13474557371699036
0.0,0.6135923151542565,0.8175848131515837,-0.5586159984262703,0.13965399960656757
0.0,0.6381360077604268,0.8032075314806449,-0.5779132125951246,0.14447830314878116
0.0,0.662679700366597,0.7883464276266062,-0.5968623134542785,0.14921557836356963
0.0,0.6872233929727672,0.773010453362737,-0.615451886773927,0.15386297169348176
0.0,0.7117670855789375,0.7572088465064846,-0.6336707348902112,0.1584176837225528
0.0,0.7363107781851077,0.7409511253549592,-0.6515078834502724,0.1628769708625681
0.0,0.760854470791278,0.724247082951467,-0.6689525880227921,0.16723814700569803
0.0,0.7853981633974483,0.7071067811865476,-0.6859943405700354,0.17149858514250885
0.0,0.8099418560036186,0.6895405447370669,-0.7026228757774997,0.17565571894437493
0.0,0.8344855486097889,0.6715589548470183,-0.7188281772373573,0.17970704430933931
0.0,0.859029241215959,0.6531728429537769,-0.7346004834819638,0.18365012087049096
0.0,0.8835729338221293,0.6343932841636455,-0.749930293863802,0.1874825734659505
0.0,0.9081166264282996,0.6152315905806268,-0.7648083742783167,0.19120209356957918
0.0,0.9326603190344698,0.5956993044924335,-0.7792257627261931,0.1948064406815483
0.0,0.9572040116406401,0.5758081914178453,-0.7931737747117314,0.19829344367793286
0.0,0.9817477042468103,0.5555702330196023,-0.806644008474061,0.20166100211851526
0.0,1.0062913968529805,0.5349976198870973,-0.819628350048048,0.204907087512012
0.0,1.030835089459151,0.5141027441932217,-0.8321189781518443,0.20802974453796108
0.0,1.055378782065321,0.4928981922297841,-0.8441083688981343,0.21102709222453359
0.0,1.0799224746714913,0.4713967368259978,-0.8555893003262453,0.2138973250815613
0.0,1.1044661672776617,0.4496113296546066,-0.8665548567523842,0.21663871418809605
0.0,1.1290098598838318,0.4275550934302822,-0.8769984329353886,0.21924960823384715
0.0,1.1535535524900022,0.40524131400498986,-0.8869137380554764,0.2217284345138691
0.0,1.1780972450961724,0.38268343236508984,-0.8962947995036001,0.22407369987590003
0.0,1.2026409377023426,0.3598950365349883,-0.9051359664791242,0.22628399161978105
0.0,1.227184630308513,0.33688985339222005,-0.9134319133936551,0.2283579783484138
0.0,1.2517283229146832,0.3136817403988916,-0.9211776430789768,0.2302944107697442
0.0,1.2762720155208536,0.29028467725446233,-0.9283684897971585,0.23209212244928962
0.0,1.3008157081270237,0.2667127574748984,-0.9350001220510199,0.23375003051275497
0.0,1.325359400733194,0.24298017990326398,-0.9410685451932643,0.23526713629831608
0.0,1.3499030933393643,0.21910124015686977,-0.9465701038327038,0.23664252595817595
0.0,1.3744467859455345,0.19509032201612833,-0.9515014840361303,0.23787537100903258
0.0,1.3989904785517047,0.17096188876030136,-0.9558597153245056,0.2389649288311264
0.0,1.423534171157875,0.14673047445536175,-0.9596421724622665,0.23991054311556662
0.0,1.4480778637640452,0.12241067519921628,-0.9628465770386679,0.24071164425966698
0.0,1.4726215563702154,0.09801714032956077,-0.9654709988402138,0.24136774971005345
0.0,1.4971652489763858,0.07356456359966745,-0.9675138570133444,0.2418784642533361
0.0,1.521708941582556,0.049067674327418126,-0.9689739210166833,0.24224348025417083
0.0,1.5462526341887264,0.024541228522912264,-0.9698503113622704,0.2424625778405676
0.0,1.5707963267948966,6.123233995736766e-17,-0.9701425001453319,0.24253562503633297
0.0,1.5953400194010667,-0.024541228522912142,-0.9698503113622704,0.2424625778405676
0.0,1.6198837120072371,-0.04906767432741801,-0.9689739210166833,0.24224348025417083
0.0,1.6444274046134073,-0.07356456359966733,-0.9675138570133444,0.2418784642533361
0.0,1.6689710972195777,-0.09801714032956065,-0.9654709988402139,0.24136774971005348
0.0,1.6935147898257479,-0.12241067519921615,-0.9628465770386679,0.24071164425966698
0.0,1.718058482431918,-0.14673047445536164,-0.9596421724622665,0.23991054311556662
0.0,1.7426021750380885,-0.17096188876030124,-0.9558597153245056,0.2389649288311264
0.0,1.7671458676442586,-0.1950903220161282,-0.9515014840361303,0.23787537100903258
0.0,1.7916895602504288,-0.21910124015686966,-0.9465701038327038,0.23664252595817595
0.0,1.8162332528565992,-0.24298017990326387,-0.9410685451932643,0.23526713629831608
0.0,1.8407769454627694,-0.2667127574748983,-0.9350001220510199,0.23375003051275497
0.0,1.8653206380689396,-0.29028467725446216,-0.9283684897971585,0.23209212244928962
0.0,1.88986433067511,-0.3136817403988914,-0.9211776430789768,0.2302944107697442
0.0,1.9144080232812801,-0.33688985339221994,-0.9134319133936551,0.2283579783484138
0.0,1.9389517158874505,-0.35989503653498817,-0.9051359664791242,0.22628399161978105
0.0,1.9634954084936207,-0.3826834323650897,-0.8962947995036001,0.22407369987590003
0.0,1.9880391010997909,-0.40524131400498975,-0.8869137380554764,0.2217284345138691
