step,steps,max_velocity_error,relative_to_initial_speed,max_covariance_error,max_constraint_defect,sampled_peak_speed,energy_budget_error
0.4,50,0.0010766525384225015,0.0010766525384225015,0.0014517591273099928,1.5865225434730235e-05,3.631976113134718,0.00013120003812192027
0.2,100,6.278654192143514e-05,6.278654192143514e-05,8.534882749744455e-05,1.0141938582286514e-06,3.6325317524016,4.619368107749988e-07
0.1,200,3.6267905704660892e-06,3.6267905704660892e-06,4.833308487661725e-06,6.449273337594263e-08,3.632566405794582,3.591549577186548e-08
0.05,400,2.163849621747092e-07,2.163849621747092e-07,2.864359709420228e-07,4.075909831868785e-09,3.6325684808363135,2.2483478689938607e-09
0.025,800,1.3199634199207448e-08,1.3199634199207448e-08,1.7908496019458653e-08,2.5642754586385763e-10,3.63256860637101,1.4057865982408657e-10
