time,kx,ky,Bx,By,k2,damping_integral,vorticity_amplitude,speed,energy,qxy,production,dissipation,energy_rate,logarithmic_speed_rate,wavelength,pressure_amplitude,heat_reference_speed,inviscid_speed
0.0,1.0,4.0,-0.9701425001453319,0.24253562503633297,17.0,0.0,4.123105625617661,1.0,0.25,-0.11764705882352941,0.11764705882352941,0.0425,0.0751470588235294,0.1502941176470588,1.5238962756959047,0.028533602945450938,1.0,1.0
0.01,1.0,3.99,-0.9714627408738609,0.24347437114633105,16.9201,0.16960033333333335,4.119610707233036,1.001508675105341,0.2507549065778139,-0.11826313996317722,0.11826313996317722,0.042427980947872694,0.07583515901530452,0.15121370913587978,1.5274901051660978,0.028779306404374802,0.9991503611476675,1.002358316328683
0.02,1.0,3.98,-0.9727926887157496,0.24442027354667076,16.840400000000002,0.33840266666666674,4.116135174635355,1.0030288556863391,0.25151672133486175,-0.11888512754005243,0.11888512754005243,0.04235642193967606,0.07652870560037636,0.1521344290634426,1.5311003894044533,0.029027846553130652,0.9983014441815146,1.0047274304842426
0.03,1.0,3.97,-0.9741323796574515,0.24537339537971067,16.7609,0.5064089999999999,4.112678942619793,1.0045605985988386,0.25228549906431424,-0.11951308477293314,0.11951308477293314,0.04228532021267064,0.07722776456026251,0.15305628909843744,1.5347272377325631,0.029279262495416198,0.9974532484881984,1.007107414204889
0.04,1.0,3.96,-0.9754818499721014,0.24633380049800538,16.6816,0.6736213333333335,4.109241926387527,1.0061039612747702,0.2530612952231961,-0.12014707571022643,0.12014707571022643,0.042214673023952674,0.07793240268627374,0.1539793009783234,1.5383707604030359,0.02953359395957287,0.9966057734548976,1.0094983398397777
0.05,1.0,3.95,-0.9768411362201126,0.24730155347344623,16.6025,0.8400416666666667,4.105824041542891,1.0076590017273603,0.2538441659405451,-0.12078716524200007,0.12078716524200007,0.042144477650279004,0.07864268759172108,0.15490347650956182,1.5420310686089251,0.029790881309856496,0.9957590184693116,1.011900280355196
0.06,1.0,3.94,-0.9782102752497499,0.24827671960653552,16.523600000000002,1.005672,4.102425204090551,1.0092257785564012,0.2546341680256935,-0.12143341911220705,0.12143341911220705,0.04207473138789349,0.07935868772431356,0.15582882756784233,1.5457082744932582,0.03005116555793356,0.9949129829196596,1.0143133093408163
0.07,1.0,3.93,-0.9795893041976848,0.24925936493579767,16.4449,1.1705143333333332,4.099045330432699,1.0108043509535867,0.2554313589766754,-0.12208590393110741,0.12208590393110741,0.04200543155235529,0.08008047237875213,0.15675536609830404,1.5494024911586786,0.030314488374608258,0.9940676661946811,1.0167375010160231
0.08,1.0,3.92,-0.9809782604895245,0.25024955624732764,16.3664,1.3345706666666666,4.095684337366263,1.0123947787079097,0.25623579698875937,-0.12274468718788945,0.12274468718788945,0.04193657547836832,0.08080811170952112,0.15768310411574937,1.5531138326771932,0.03058089210178508,0.9932230676836347,1.0191729302363088
0.09,1.0,3.91,-0.9823771818403227,0.25124736108448154,16.2881,1.497843,4.092342142080144,1.0139971222111286,0.2570475409631126,-0.12340983726349547,0.12340983726349547,0.04186816051961275,0.08154167674388271,0.158612053704852,1.5568424141000319,0.03085041976467256,0.9923791867762979,1.0216196724997453
0.1,1.0,3.9,-0.9837861062550636,0.2522528477577086,16.21,1.6603333333333332,4.089018662152457,1.015611442463294,0.2578666505155932,-0.12408142344365375,0.12408142344365375,0.04180018404857767,0.08228123939507609,0.15954222702035778,1.56058835146762,0.031123115084233016,0.9915360228629667,1.0240778039535265
0.11,1.0,3.89,-0.9852050720291196,0.25326608535452944,16.1321,1.8220436666666664,4.0857138155478046,1.017237801078347,0.25869318598567764,-0.12475951593212116,0.12475951593212116,0.0417326434563955,0.08302687247572565,0.16047363628727812,1.5643517618196616,0.03139902248988407,0.9906935753344551,1.0265474014005858
0.12,1.0,3.88,-0.986634117748685,0.2542871437496611,16.0544,1.9829760000000003,4.0824275206145595,1.0188762602897796,0.2595272084455217,-0.12544418586413997,0.12544418586413997,0.041665536152677846,0.08377864971146212,0.1614062938010763,1.5681327632053383,0.03167818713245728,0.9898518435820949,1.0290285423062882
0.13,1.0,3.87,-0.9880732822911822,0.25531609361529256,15.9769,2.143132333333334,4.079159696082168,1.0205268829563692,0.2603687797091607,-0.12613550532011245,0.12613550532011245,0.04159885956535291,0.08453664575475953,0.1623402119278458,1.5719314746936248,0.03196065489741972,0.9890108269977347,1.0315213048052003
0.14,1.0,3.86,-0.9895226048256373,0.25635300643151226,15.8996,2.302514666666667,4.075910261058472,1.0221897325679754,0.26121796234184724,-0.12683354733949667,0.12683354733949667,0.041532611140504355,0.08530093619899232,0.16327540310448063,1.5757480163837192,0.03224647241836427,0.98817052497374,1.0340257677079339
0.15,1.0,3.85,-0.9909821248130268,0.25739795449689007,15.822500000000002,2.4611249999999996,4.072679135027044,1.0238648732514093,0.2620748196695311,-0.12753838593492745,0.12753838593492745,0.041466788342211576,0.08607159759271588,0.16421187983883706,1.579582509415593,0.032535687090774534,0.9873309369029926,1.0365420105080698
0.16,1.0,3.84,-0.9924518820065961,0.25845101093921774,15.7456,2.618965333333333,4.069466237844547,1.0255523697763749,0.26293941578848457,-0.12825009610656699,0.12825009610656699,0.041401388652391624,0.08684870745417536,0.16514965470988718,1.5834350759806635,0.03282834708607074,0.98649206217889,1.0390701133891607
0.17,1.0,3.83,-0.9939319164521409,0.2595122497264075,15.6689,2.7760376666666664,4.066271489738107,1.0272522875614767,0.2638118155750717,-0.1289687538566874,0.1289687538566874,0.04133640957064242,0.087632344286045,0.16608874036786245,1.5873058393325807,0.03312450136594241,0.9856539001953453,1.0416101572318097
0.18,1.0,3.82,-0.995422268488258,0.2605817456775545,15.5924,2.932344,4.0630948113027,1.0289646926803035,0.2646920846956679,-0.1296944362044908,0.1296944362044908,0.04127184861408731,0.0884225875904035,0.16702914953438855,1.5911949237981458,0.03342419969697474,0.9848164503467863,1.0441622236208354
0.19,1.0,3.81,-0.9969229787465614,0.2616595744741631,15.5161,3.0878863333333326,4.059936123498562,1.0306896518675819,0.2655802896167293,-0.1304272212011702,0.1304272212011702,0.04120770331722133,0.08921951788394887,0.1679708950026102,1.5951024547883448,0.03372749266557487,0.9839797120281556,1.0467263948525125
0.2,1.0,3.8,-0.9984340881518614,0.2627458126715425,15.44,3.242666666666667,4.056795347648616,1.0324272325254058,0.26647649761501707,-0.13116718794521567,0.13116718794521567,0.041143971231758635,0.09002321671345703,0.1689139896373057,1.599028558809515,0.03403443169320499,0.9831436846349096,1.0493027539418982
0.21,1.0,3.79,-0.9999556379223052,0.26384053771037075,15.3641,3.396687,4.053672405435908,1.0341775027295372,0.2673807767879755,-0.1319144165979689,0.1319144165979689,0.04108064992648134,0.09083376667148757,0.16985844637499103,1.6029733634746335,0.034345069051928946,0.9823083675630185,1.0518913846302413
0.22,1.0,3.78,-1.0014876695694799,0.26494382792843385,15.2884,3.549949333333333,4.050567218901068,1.0359405312357846,0.2682931960642699,-0.13266898839943225,0.13266898839943225,0.041017736987089826,0.09165125141234243,0.170804278224013,1.606936997514736,0.03465945788027967,0.9814737602089658,1.0544923713924754
0.23,1.0,3.77,-1.0030302248984733,0.2660557625725393,15.2129,3.7024556666666664,4.0474797104397835,1.0377163874864546,0.2692138252144844,-0.13343098568433445,0.13343098568433445,0.040955230016054285,0.09247575566828017,0.1717514982646307,1.6109195907904659,0.034977652199454326,0.9806398619697475,1.0571057994447954
0.24,1.0,3.76,-1.0045833460078946,0.26717642181061024,15.137599999999999,3.854208,4.044409802800294,1.0395051416168841,0.2701427348619846,-0.13420049189845973,0.13420049189845973,0.04089312663246778,0.09330736526599195,0.17270011964908571,1.614921274303753,0.03529970692984492,0.9798066722428721,1.0597317547523244
