tau,heat_radius,heat_speed,heat_time_angular,heat_minus_viscosity_angular,heat_residual_magnitude,heat_normalized_angular,heat_laplacian_raw_relative_error,gaussian_force_magnitude,gaussian_force_l2,gaussian_angular_normalized
1.0,5.656854249492381,0.24999927878392453,2.5440668970397604e-08,-2.5440668970397326e-08,2.779326858178173e-22,5.462369840612628e-15,1.515385594785812e-10,3.149918299259421,15.905536191376514,1.0
0.7943282347242815,5.041676656745949,0.28050386894613993,3.593590835555347e-08,-3.593590835555307e-08,3.970466940254533e-22,5.524372587121435e-15,1.7624324222254018e-10,4.449377860198183,18.903765192031095,1.0
0.6309573444801932,4.493399050091833,0.31473058993005654,5.076083144045385e-08,-5.07608314404533e-08,5.558653716356346e-22,5.4753375374446744e-15,1.1240053332528532e-10,6.284913277743189,22.46716703767534,1.0
0.5011872336272722,4.004746118803626,0.3531336113468768,7.170159671580913e-08,-7.170159671580835e-08,7.808584982500581e-22,5.445196020843249e-15,9.310796578176905e-11,8.877675969510308,26.7022780684767,1.0
0.3981071705534972,3.5692337353712085,0.3962225199990893,1.0128122069134014e-07,-1.0128122069133904e-07,1.0984958534704208e-21,5.422998686094784e-15,1.0558220964185239e-12,12.540050615928523,31.735716962027205,1.0
0.31622776601683794,3.1810829150682025,0.44456908181480925,1.4306355973333913e-07,-1.4306355973333757e-07,1.5617169965001163e-21,5.458122946930232e-15,1.0809264594513479e-10,17.71329230646873,37.7179702986801,1.0
0.25118864315095796,2.8351431323357654,0.49881482886464107,2.0208269592197657e-07,-2.0208269592197437e-07,2.1969917069408415e-21,5.435872915583788e-15,7.99593724565284e-11,25.020690421764478,44.827891714384606,1.0
0.19952623149688792,2.5268239764376967,0.5596795721365722,2.854494608355352e-07,-2.8544946083553215e-07,3.0704944337968387e-21,5.378350382602323e-15,1.345636935212724e-10,35.34266461312526,53.27804915385156,1.0
0.15848931924611134,2.2520342394989386,0.6279709530286998,4.0320817336461826e-07,-4.0320817336461387e-07,4.393983413881683e-21,5.448777708566264e-15,3.160249839595508e-11,49.92284069304945,63.32108009285154,1.0
0.12589254117941673,2.0071276286627455,0.7045951603028051,5.695468143192687e-07,-5.695468143192625e-07,6.246867986000465e-21,5.484068937745578e-15,2.482314354068649e-10,70.51788681315297,75.2572447340719,1.0
0.1,1.7888543819998317,0.7905689547068057,8.045064438906852e-07,-8.045064438906764e-07,8.787966827763366e-21,5.4617131376001175e-15,1.2469358878774983e-10,99.60916269103642,89.44340299721726,1.0
0.07943282347242814,1.5943181461420115,0.8870331608261589,1.1363958185513093e-06,-1.136395818551297e-06,1.2281977735187355e-20,5.40391716279132e-15,1.0297029895411924e-10,140.70168208952506,106.30368369173965,1.0
0.0630957344480193,1.4209375434327216,0.9952678051936066,1.6052021288674388e-06,-1.6052021288674212e-06,1.7575933655526732e-20,5.474679275415504e-15,1.8374879395821608e-10,198.7464085430292,126.34216485239281,1.0
0.05011872336272722,1.2664119186138731,1.1167091015315815,2.267408795823738e-06,-2.267408795823713e-06,2.498747194400186e-20,5.510138266647276e-15,1.9896595482293833e-10,280.7367639259612,150.15794434628387,1.0
0.03981071705534971,1.1286908105283708,1.2529685085120275,3.202800790580952e-06,-3.2028007905809174e-06,3.4728350837426314e-20,5.421559614253618e-15,2.771640694732014e-10,396.55121920131523,178.4630513229222,1.0
0.03162277660168379,1.0059467437463483,1.4058541129195363,4.524077406350231e-06,-4.524077406350182e-06,4.912791094074942e-20,5.429605478433148e-15,7.686229430703406e-11,560.1434854877851,212.10373401249996,1.0
0.025118864315095794,0.8965509790765194,1.5773946219605286,6.3904306627001035e-06,-6.390430662700034e-06,6.945670167485263e-20,5.4344304273779535e-15,1.6425105719974908e-10,791.2237036273477,252.08576032156512,1.0
0.01995262314968879,0.7990519011866759,1.7698662830831076,9.026725315852445e-06,-9.026725315852346e-06,9.825582188149884e-20,5.4424953924844516e-15,2.2511503772193464e-10,1117.6331875690958,299.6044876473345,1.0
0.015848931924611134,0.7121557565501779,1.9858230885186807,1.275059134957008e-05,-1.2750591349569942e-05,1.3891340334970526e-19,5.447331795885288e-15,5.787414991687001e-11,1578.698838557751,356.08060091898363,1.0
