order,profile_relative_error,profile_derivative_relative_error,angular_normalized_residual
8,8.933964679158635e-13,1.8946155789789643e-05,4.0126842609454346e-05
12,2.1760371282653068e-14,5.880017708292939e-07,1.4974111008102758e-06
16,8.881784197001252e-16,3.055644404170721e-08,8.900815407055523e-08
24,0.0,2.066051774107791e-10,7.300153767758629e-10
32,0.0,2.9947155866238973e-12,1.2159728295710167e-11
48,1.1102230246251565e-16,5.995204332975845e-15,1.5365965932463257e-14
64,0.0,8.215650382226158e-15,7.44438101075852e-15
96,2.220446049250313e-16,7.105427357601002e-15,6.203650842298766e-15
128,1.1102230246251565e-16,3.774758283725532e-15,3.913072069757686e-15
