xi,radius,tau,velocity,pressure,radial_transport,radial_pressure_gradient,angular_time,angular_minus_viscosity,angular_normalized_residual
4.0,0.8944271909999159,0.1,1.581139707556151,-1.2499992956148283,-2.7950880742074693,2.7950880742074693,4.385179140491099e-06,-4.3851791404910336e-06,7.436587520034292e-15
4.213444143819343,0.9179808433534268,0.1,1.540570594690272,-1.1866768788876743,-2.585410985870197,2.585410985870197,4.139207459653055e-06,-4.139207459652994e-06,7.366914173398536e-15
4.438277888271379,0.9421547524978452,0.1,1.5010424093596022,-1.1265622460588265,-2.3914630889698056,2.3914630889698056,3.905102004334192e-06,-3.905102004334135e-06,7.266290023032885e-15
4.675108994244981,0.9669652521414595,0.1,1.462528443339232,-1.069492897418569,-2.212064438550642,2.212064438550642,3.682426145536817e-06,-3.6824261455367635e-06,7.245640994280163e-15
4.924577653379665,0.9924291061209023,0.1,1.4250026736859243,-1.0153145651536097,-2.046123604686632,2.046123604686632,3.4707511561975003e-06,-3.470751156197452e-06,6.955393201740112e-15
5.187358218604039,1.018563519728057,0.1,1.3884397451550894,-0.9638807963365649,-1.8926310324181035,1.8926310324181035,3.2696564547766767e-06,-3.2696564547766314e-06,6.929820197455663e-15
5.464161027017582,1.0453861513352454,0.1,1.3528149530689098,-0.9150525570403073,-1.750652899800983,1.750652899800983,3.078729840325493e-06,-3.078729840325451e-06,6.8093228479988e-15
5.75573432004328,1.07291512432655,0.1,1.3181042266240366,-0.8686978565070439,-1.6193254367018868,1.6193254367018868,2.8975677169876237e-06,-2.897567716987585e-06,6.650405247498059e-15
6.062866266041592,1.1011690393433329,0.1,1.2842841126275841,-0.8246913903561865,-1.4978496697756865,1.4978496697756865,2.7257753060284813e-06,-2.7257753060284457e-06,6.525736678661716e-15
6.3863870908532006,1.1301669868522262,0.1,1.251331759650426,-0.7829142018665523,-1.3854865616549552,1.3854865616549552,2.5629668436333405e-06,-2.5629668436333057e-06,6.775029283678632e-15
6.727171322029715,1.1599285600440845,0.1,1.2192249025870925,-0.7432533604172881,-1.281552514779021,1.281552514779021,2.408765762877394e-06,-2.4087657628773633e-06,6.329628760732911e-15
7.086140152818885,1.1904738680726163,0.1,1.1879418476118304,-0.7056016562182964,-1.185415212508746,1.185415212508746,2.2628048584428617e-06,-2.262804858442833e-06,6.363588998669636e-15
7.464263932294459,1.2218235496416379,0.1,1.1574614575206692,-0.669857310504966,-1.0964897722251403,1.0964897722251403,2.1247264328388683e-06,-2.1247264328388416e-06,6.27881722233322e-15
7.8625647883620084,1.2539987869501317,0.1,1.127763137449575,-0.635923700413823,-1.0142351870079496,1.0142351870079496,1.9941824230669014e-06,-1.9941824230668764e-06,6.265091812807471e-15
8.282119390731019,1.2870213200045304,0.1,1.0988268209590604,-0.6037090977953983,-0.9381510342460719,0.9381510342460719,1.8708345068659353e-06,-1.8708345068659129e-06,5.999026910146577e-15
8.72406186132206,1.320913461307898,0.1,1.0706329564758292,-0.5731264212582792,-0.8677744311555539,0.8677744311555539,1.7543541878646383e-06,-1.7543541878646174e-06,5.974866873963763e-15
9.18958683997628,1.3556981109359327,0.1,1.0431624940823108,-0.5440930007740831,-0.8026772186831294,0.8026772186831294,1.644422859161324e-06,-1.6444228591613042e-06,6.052358780340755e-15
9.67995271375434,1.3913987720099756,0.1,1.0163968726451484,-0.5165303542070456,-0.7424633566626659,0.7424633566626659,1.5407318450432344e-06,-1.5407318450432158e-06,6.047361485889133e-15
10.196485018554098,1.4280395665774879,0.1,0.9903180072739451,-0.490363975164143,-0.6867665143771222,0.6867665143771222,1.4429824207433751e-06,-1.4429824207433584e-06,5.7966405091942734e-15
10.74058002224211,1.4656452519107146,0.1,0.9649082771017985,-0.4655231315922806,-0.6352478418674532,0.6352478418674532,1.3508858103135714e-06,-1.3508858103135555e-06,5.878316153654645e-15
11.31370849898476,1.5042412372345575,0.1,0.9401505133793627,-0.44194067457811964,-0.5875939084294993,0.5875939084294993,1.264163162864742e-06,-1.2641631628647271e-06,5.862801975403046e-15
11.91741970498162,1.5438536008949566,0.1,0.9160279878743945,-0.419552856833699,-0.5435147957570522,0.5435147957570522,1.1825455075881842e-06,-1.1825455075881711e-06,5.551165091827418e-15
12.55334556634801,1.5845091079793774,0.1,0.8925244015689456,-0.39829916037719404,-0.5027423341301314,0.5027423341301314,1.1057736881233336e-06,-1.105773688123321e-06,5.745069875182931e-15
13.223205090467388,1.6262352284013153,0.1,0.8696238736465652,-0.3781221329430009,-0.4650284709177596,0.4650284709177596,1.0335982769768478e-06,-1.0335982769768365e-06,5.429182111228952e-15
13.928809012737991,1.6690601554610303,0.1,0.8473109307620672,-0.3589672326789421,-0.43014376146950284,0.43014376146950284,9.657794708240315e-07,-9.65779470824021e-07,5.481537017785693e-15
14.67206469127474,1.7130128248950585,0.1,0.8255704965866183,-0.34078268071078255,-0.39787597321463675,0.39787597321463675,9.020869676356233e-07,-9.020869676356133e-07,5.5751366606084105e-15
15.454981262797524,1.7581229344273697,0.1,0.8043878816210758,-0.3235193211755163,-0.36802879447652864,0.36802879447652864,8.422998266704663e-07,-8.42299826670457e-07,5.468054848000333e-15
16.27967507364298,1.8044209638353785,0.1,0.7837487732706989,-0.30713048834507173,-0.34042064014689977,0.34042064014689977,7.862063124570795e-07,-7.862063124570712e-07,5.31950088774751e-15
17.148375400580694,1.8519381955443706,0.1,0.7636392261745213,-0.29157188048125066,-0.31488354695390275,0.31488354695390275,7.336037239546409e-07,-7.336037239546329e-07,5.412277515237982e-15
18.063430476898105,1.900706735764258,0.1,0.7440456527828548,-0.27680144008090884,-0.2912621516030273,0.2912621516030273,6.842982101364535e-07,-6.842982101364464e-07,5.183340266110174e-15
19.027313840043536,1.9507595361829473,0.1,0.7249548141765555,-0.2627792401876647,-0.2694127455740274,0.2694127455740274,6.381045732769089e-07,-6.38104573276902e-07,5.392644861561496e-15
20.042631017986043,2.002130416230973,0.1,0.7063538111218487,-0.24946737646281747,-0.24920240082342432,0.24920240082342432,5.948460612467521e-07,-5.94846061246746e-07,5.1618303185219575e-15
21.112126572366307,2.0548540859324445,0.1,0.6882300753546715,-0.23682986472372602,-0.2305081610735201,0.2305081610735201,5.543541501317659e-07,-5.543541501317601e-07,5.252374777918752e-15
22.238691517477395,2.108966169357745,0.1,0.6705713610886402,-0.22483254367267835,-0.2132162937678658,0.2132162937678658,5.164683184875606e-07,-5.164683184875552e-07,5.227653706387268e-15
23.425371135130003,2.164503228693827,0.1,0.6533657367409073,-0.21344298255331232,-0.19722159814221857,0.19722159814221857,4.810358145289539e-07,-4.810358145289489e-07,5.172503184603849e-15
24.675373206527045,2.221502788948375,0.1,0.6366015768703152,-0.2026303934849677,-0.18242676520141407,0.18242676520141407,4.47911417527356e-07,-4.4791141752735143e-07,5.082257242542636e-15
25.99207668339953,2.2800033633045165,0.1,0.6202675543224037,-0.19236554823799823,-0.16874178570837106,0.16874178570837106,4.169571946548142e-07,-4.1695719465481e-07,5.015173296782254e-15
27.379040821843272,2.3400444791432182,0.1,0.6043526325759582,-0.1826206992250707,-0.15608340258353573,0.15608340258353573,3.8804225446991037e-07,-3.8804225446990635e-07,5.184237609579617e-15
