relative_step,radial_derivative_relative_error,time_derivative_relative_error
0.1,0.010101021621724326,0.00010849966362957986
0.06932806692144523,0.004829599231411574,5.212648878272219e-05
0.04806380863064391,0.0023154813923307316,2.506533182589088e-05
0.033321709412448185,0.0011115718003777975,1.2003514289649075e-05
0.023101297000831605,0.0005339554863796891,5.766241129467886e-06
0.016015682644458355,0.00025656819270847286,2.818842285368106e-06
0.011103363181676379,0.00012330001521809741,1.3412894275255383e-06
0.0076977470571237185,5.9258888556623646e-05,5.947831867025855e-07
0.005336699231206312,2.8481202262176097e-05,1.0476579248575035e-07
0.0036998304144069656,1.3688948072854146e-05,1.1112494757714586e-07
0.0025650209056800456,6.5793830295035605e-06,6.153885894200073e-07
0.0017782794100389228,3.1622913645446005e-06,5.623027188317309e-07
0.0012328467394420659,1.5199151561784419e-06,1.2920874459254605e-07
0.000854708812559251,7.305287552661355e-07,8.689338442113836e-07
0.000592553097554568,3.5111953167188403e-07,9.770369987505134e-07
0.0004108056080177276,1.6876168063006958e-07,2.689939843092404e-07
0.0002848035868435802,8.11136227074627e-08,3.6106280970615856e-06
0.00019744882128159367,3.898585476669325e-08,2.4776638396506456e-06
0.00013688745095370806,1.87372399818031e-08,3.482791792186468e-06
9.490142360424735e-05,9.006513757015e-09,2.892076722438297e-06
6.579332246575683e-05,4.328820413235235e-09,1.2613831898100614e-05
4.561323862890215e-05,2.0818466950345282e-09,1.3113957895161121e-05
3.1622776601683795e-05,1.0048595289191553e-09,2.9653993975253812e-05
2.1923459724834464e-05,4.82426099068789e-10,4.420809991412256e-06
1.5199110829529332e-05,2.384143993339194e-10,3.687084306469579e-05
1.0537249727360746e-05,1.0524403570855156e-10,3.3337216650108914e-05
7.305271542664449e-06,3.076117138789414e-11,0.0001043246432370637
5.064603543891714e-06,5.193734331498945e-12,1.2729736134975411e-05
3.5111917342151347e-06,1.0606182598849045e-11,0.00013574208459177228
2.434241355236922e-06,6.919509409897273e-11,4.484733299603416e-05
1.6876124757881487e-06,1.4258594305260885e-12,2.377193549563117e-06
1.1699891065890664e-06,2.996469739002805e-11,0.00021304983619674367
8.111308307896872e-07,2.140876365075428e-10,0.001190687845445848
5.62341325190349e-07,1.892737078179607e-10,0.0007267473780435685
3.898603702549072e-07,2.681233013390738e-11,0.0005619634293048126
2.7028265839051624e-07,8.759748482134455e-11,0.0025219035303412074
1.873817422860383e-07,5.443798745119466e-10,0.0003781616231124385
1.2990813969063467e-07,2.3384916225666075e-10,0.0009109987371771489
9.006280202112795e-08,9.153782176696268e-10,0.000493718472950988
6.243879965653632e-08,9.598264405497048e-10,0.009737906168094446
4.328761281083061e-08,3.3737765914310103e-09,0.00826197507361548
3.001046517818875e-08,9.097484987563575e-10,0.03015358337681473
2.0805675382171717e-08,8.059750311595337e-09,0.0051752940251788004
1.4424172552410664e-08,1.5139655085150139e-09,0.008613696447951513
1e-08,2.8599420609509707e-09,0.09072387523187486
