phase,sine,sine_squared
0.0,0.0,0.0
0.04908738521234052,0.049067674327418015,0.002407636663901557
0.09817477042468103,0.0980171403295606,0.009607359798384776
0.14726215563702155,0.14673047445536175,0.021529832133895567
0.19634954084936207,0.19509032201612825,0.03806023374435662
0.2454369260617026,0.24298017990326387,0.059039367825822475
0.2945243112740431,0.29028467725446233,0.08426519384872735
0.3436116964863836,0.33688985339222005,0.11349477331863152
0.39269908169872414,0.3826834323650898,0.14644660940672624
0.44178646691106466,0.4275550934302821,0.18280335791817726
0.4908738521234052,0.47139673682599764,0.22221488349019888
0.5399612373357456,0.5141027441932217,0.2643016315870011
0.5890486225480862,0.5555702330196022,0.3086582838174551
0.6381360077604268,0.5956993044924334,0.3548576613727688
0.6872233929727672,0.6343932841636455,0.40245483899193585
0.7363107781851077,0.6715589548470183,0.4509914298352196
0.7853981633974483,0.7071067811865476,0.5000000000000001
0.8344855486097889,0.7409511253549591,0.5490085701647803
0.8835729338221293,0.7730104533627369,0.597545161008064
0.9326603190344698,0.8032075314806448,0.645142338627231
0.9817477042468103,0.8314696123025452,0.6913417161825449
1.030835089459151,0.8577286100002721,0.735698368412999
1.0799224746714913,0.8819212643483549,0.777785116509801
1.1290098598838318,0.9039892931234433,0.8171966420818227
1.1780972450961724,0.9238795325112867,0.8535533905932737
1.227184630308513,0.9415440651830208,0.8865052266813686
1.2762720155208536,0.9569403357322089,0.9157348061512728
1.325359400733194,0.970031253194544,0.9409606321741775
1.3744467859455345,0.9807852804032304,0.9619397662556434
1.423534171157875,0.989176509964781,0.9784701678661045
1.4726215563702154,0.9951847266721968,0.9903926402016151
1.521708941582556,0.9987954562051724,0.9975923633360985
1.5707963267948966,1.0,1.0
1.6198837120072371,0.9987954562051724,0.9975923633360985
1.6689710972195777,0.9951847266721969,0.9903926402016153
1.718058482431918,0.989176509964781,0.9784701678661045
1.7671458676442586,0.9807852804032304,0.9619397662556434
1.8162332528565992,0.970031253194544,0.9409606321741775
1.8653206380689396,0.9569403357322089,0.9157348061512728
1.9144080232812801,0.9415440651830208,0.8865052266813686
1.9634954084936207,0.9238795325112867,0.8535533905932737
2.012582793705961,0.9039892931234434,0.817196642081823
2.061670178918302,0.881921264348355,0.7777851165098012
2.110757564130642,0.8577286100002721,0.735698368412999
2.1598449493429825,0.8314696123025453,0.691341716182545
2.2089323345553233,0.8032075314806449,0.6451423386272312
2.2580197197676637,0.7730104533627371,0.5975451610080643
2.3071071049800045,0.740951125354959,0.5490085701647801
2.356194490192345,0.7071067811865476,0.5000000000000001
2.405281875404685,0.6715589548470186,0.4509914298352199
2.454369260617026,0.6343932841636455,0.40245483899193585
2.5034566458293663,0.5956993044924335,0.354857661372769
2.552544031041707,0.5555702330196022,0.3086582838174551
2.6016314162540475,0.5141027441932218,0.2643016315870012
2.650718801466388,0.4713967368259978,0.22221488349019905
2.6998061866787286,0.42755509343028203,0.1828033579181772
2.748893571891069,0.3826834323650899,0.14644660940672632
2.7979809571034093,0.33688985339222033,0.11349477331863171
2.84706834231575,0.2902846772544624,0.0842651938487274
2.8961557275280905,0.24298017990326407,0.05903936782582257
2.945243112740431,0.1950903220161286,0.038060233744356756
2.9943304979527716,0.1467304744553618,0.021529832133895584
3.043417883165112,0.09801714032956083,0.00960735979838482
3.0925052683774528,0.049067674327417966,0.002407636663901552
3.141592653589793,1.2246467991473532e-16,1.4997597826618576e-32
3.1906800388021335,-0.049067674327417724,0.0024076366639015283
3.2397674240144743,-0.09801714032956059,0.009607359798384773
3.2888548092268146,-0.14673047445536158,0.02152983213389552
3.3379421944391554,-0.19509032201612836,0.03806023374435666
3.3870295796514958,-0.24298017990326382,0.05903936782582245
3.436116964863836,-0.2902846772544621,0.08426519384872723
3.485204350076177,-0.3368898533922201,0.11349477331863156
3.5342917352885173,-0.38268343236508967,0.14644660940672616
3.5833791205008576,-0.4275550934302818,0.182803357918177
3.6324665057131984,-0.47139673682599764,0.22221488349019888
3.6815538909255388,-0.5141027441932216,0.264301631587001
3.730641276137879,-0.555570233019602,0.3086582838174548
3.77972866135022,-0.5956993044924332,0.3548576613727687
3.8288160465625602,-0.6343932841636453,0.40245483899193557
3.877903431774901,-0.6715589548470184,0.4509914298352197
3.9269908169872414,-0.7071067811865475,0.4999999999999999
3.9760782021995817,-0.7409511253549589,0.54900857016478
4.025165587411922,-0.7730104533627367,0.5975451610080637
4.074252972624263,-0.803207531480645,0.6451423386272315
4.123340357836604,-0.8314696123025452,0.6913417161825449
4.172427743048944,-0.857728610000272,0.7356983684129987
4.221515128261284,-0.8819212643483549,0.777785116509801
4.270602513473625,-0.9039892931234431,0.8171966420818224
4.319689898685965,-0.9238795325112865,0.8535533905932733
4.368777283898306,-0.9415440651830208,0.8865052266813686
4.417864669110647,-0.9569403357322088,0.9157348061512726
4.466952054322987,-0.970031253194544,0.9409606321741775
4.516039439535327,-0.9807852804032303,0.9619397662556431
4.565126824747668,-0.9891765099647809,0.9784701678661043
4.614214209960009,-0.9951847266721969,0.9903926402016153
4.663301595172349,-0.9987954562051724,0.9975923633360985
4.71238898038469,-1.0,1.0
4.76147636559703,-0.9987954562051724,0.9975923633360985
4.81056375080937,-0.9951847266721969,0.9903926402016153
4.859651136021712,-0.9891765099647809,0.9784701678661043
4.908738521234052,-0.9807852804032304,0.9619397662556434
4.957825906446392,-0.970031253194544,0.9409606321741775
5.006913291658733,-0.9569403357322089,0.9157348061512728
5.056000676871073,-0.9415440651830209,0.8865052266813688
5.105088062083414,-0.9238795325112866,0.8535533905932735
5.154175447295755,-0.9039892931234433,0.8171966420818227
5.203262832508095,-0.881921264348355,0.7777851165098012
5.252350217720435,-0.8577286100002722,0.7356983684129991
5.301437602932776,-0.8314696123025455,0.6913417161825453
5.350524988145116,-0.8032075314806453,0.6451423386272318
5.399612373357457,-0.7730104533627369,0.597545161008064
5.448699758569798,-0.7409511253549591,0.5490085701647803
5.497787143782138,-0.7071067811865477,0.5000000000000002
5.546874528994478,-0.6715589548470187,0.45099142983522006
5.595961914206819,-0.6343932841636459,0.4024548389919364
5.64504929941916,-0.5956993044924332,0.3548576613727687
5.6941366846315,-0.5555702330196022,0.3086582838174551
5.743224069843841,-0.5141027441932219,0.2643016315870013
5.792311455056181,-0.4713967368259979,0.22221488349019913
5.841398840268521,-0.42755509343028253,0.18280335791817762
5.890486225480862,-0.3826834323650904,0.1464466094067267
5.939573610693203,-0.33688985339222,0.11349477331863148
5.988660995905543,-0.2902846772544625,0.08426519384872745
6.037748381117884,-0.24298017990326418,0.05903936782582262
6.086835766330224,-0.19509032201612872,0.0380602337443568
6.135923151542564,-0.1467304744553624,0.021529832133895754
6.1850105367549055,-0.0980171403295605,0.009607359798384757
6.234097921967246,-0.04906767432741809,0.0024076366639015643
