y,envelope,mean_wx,mean_wy,Qxx,Qxy,Qyy,exact_Qxx,exact_Qxy,exact_Qyy,pressure,force_x,force_y,direct_transport_force_x,direct_transport_force_y,projected_force_x,projected_force_y,projected_curl
0.0,1.4,-4.5102810375396984e-17,4.5102810375396984e-17,0.9799999999999994,-0.9799999999999994,0.9799999999999994,0.9799999999999999,-0.9799999999999999,0.9799999999999999,-0.9799999999999999,-3.2453360727046584e-16,-5.443439808350243e-15,3.1647102473331135e-14,-3.099543279947623e-14,-3.2453360727046584e-16,1.1763593571467723e-17,0.5599999999999999
0.04908738521234052,1.399518182482069,3.732704791960251e-17,-3.61690928273677e-17,0.9793285810947859,-0.9793255715489568,0.9793255715489569,0.9793285810947868,-0.9793255715489569,0.9793255715489569,-0.9793255715489569,-0.02746844095730948,0.027468440957314436,-0.02746844095736213,0.02746844095736112,-0.02746844095730948,1.1763593571467723e-17,0.5587477387496206
0.09817477042468103,1.3980738906688788,9.280770596475918e-17,-9.367506770274758e-17,0.977317311084756,-0.9773053018850085,0.9773053018850085,0.977317311084756,-0.977305301885008,0.977305301885008,-0.977305301885008,-0.05481408189311408,0.05481408189312012,-0.05481408189308997,0.0548140818930897,-0.05481408189311408,1.1763593571467723e-17,0.5549995355333956
0.14726215563702155,1.3956706039859124,1.8821749714348357e-16,-1.8301332671555315e-16,0.9739751297053679,-0.9739482174152011,0.9739482174152005,0.973975129705368,-0.9739482174152007,0.9739482174152007,-0.9739482174152007,-0.08191496396251162,0.08191496396252082,-0.08191496396252364,0.08191496396252324,-0.08191496396251162,1.1763593571467723e-17,0.5487810577030658
0.19634954084936207,1.392314112161292,2.393918396847994e-16,-2.203098814490545e-16,0.9693168687539239,-0.9692692934617428,0.9692692934617431,0.969316868753924,-0.9692692934617435,0.9692692934617435,-0.9692692934617435,-0.10865080339568965,0.10865080339564816,-0.10865080339564616,0.10865080339564709,-0.10865080339568965,1.1763593571467723e-17,0.5401348373630981
0.2454369260617026,1.3880125012778177,2.3592239273284576e-16,-2.3071822230491534e-16,0.9633631510615335,-0.9632893518517507,0.9632893518517521,0.9633631510615343,-0.963289351851752,0.963289351851752,-0.963289351851752,-0.1349038109073589,0.13490381090737213,-0.13490381090738754,0.13490381090738743,-0.1349038109073589,1.1763593571467723e-17,0.5291199035735545
0.2945243112740431,1.3827761342928835,2.5326962749261384e-16,-2.3765711620882257e-16,0.9561402502772971,-0.9560349187849856,0.9560349187849854,0.9561402502772962,-0.9560349187849853,0.9560349187849853,-0.9560349187849853,-0.16055948954334348,0.1605594895433666,-0.16055948954335605,0.16055948954335528,-0.16055948954334348,1.1763593571467723e-17,0.5158112722612908
0.3436116964863836,1.3766176260732084,1.491862189340054e-16,-1.6653345369377348e-16,0.9476799126743662,-0.947538044207718,0.9475380442077179,0.9476799126743661,-0.9475380442077178,0.9475380442077178,-0.9475380442077178,-0.18550740408997976,0.18550740408996783,-0.18550740408996869,0.18550740408996985,-0.18550740408997976,1.1763593571467723e-17,0.5002992986112463
0.39269908169872414,1.3695518130045148,-1.3964523981613297e-16,1.3617579286417936e-16,0.9380191425137353,-0.9378360842519768,0.9378360842519766,0.9380191425137352,-0.9378360842519767,0.9378360842519767,-0.9378360842519767,-0.2096419154409683,0.20964191544098149,-0.20964191544097582,0.2096419154409751,-0.2096419154409683,1.1763593571467723e-17,0.4826888979943624
0.44178646691106466,1.3615957172493773,-2.371692252312041e-17,7.77303093348134e-18,0.9271999528133207,-0.9269714486159232,0.9269714486159223,0.9271999528133209,-0.9269714486159232,0.9269714486159232,-0.9269714486159232,-0.23286287364111694,0.2328628736411222,-0.2328628736411141,0.2328628736411149,-0.23286287364111694,1.1763593571467723e-17,0.4630986427155606
