x,y,wx,wy
0.0,0.0,-0.0,0.0
0.0,0.04908738521234052,-0.5378390527305419,0.5355724217295903
0.0,0.09817477042468103,-0.9920529579218014,0.9885875286918241
0.0,0.14726215563702155,-1.2922390712301066,1.2894315051502498
0.0,0.19634954084936207,-1.392314112161292,1.392314112161292
0.0,0.2454369260617026,-1.2777071163382685,1.282356340800372
0.0,0.2945243112740431,-0.9675072682333591,0.977770381421418
0.0,0.3436116964863836,-0.5112464761869872,0.5268087581999772
0.0,0.39269908169872414,0.019134171618254325,1.6772172440624336e-16
0.0,0.44178646691106466,0.5408105925626573,-0.5210601225705979
0.0,0.4908738521234052,0.9732181752458255,-0.9565517837838818
0.0,0.5399612373357456,1.250691625539538,-1.2408546954027293
0.0,0.5890486225480862,1.3325878449210182,-1.3325878449210182
0.0,0.6381360077604268,1.2093081192638067,-1.2207063319888398
0.0,0.6872233929727672,0.9033179649283333,-0.9257471545868992
0.0,0.7363107781851077,0.4650813416484437,-0.4961033203113353
0.0,0.7853981633974483,-0.03535533905932707,-3.142058443283101e-16
0.0,0.8344855486097889,-0.5197087056809704,0.48548122671563776
0.0,0.8835729338221293,-0.9138703451301186,0.8865402984550746
0.0,0.9326603190344698,-1.159390001244419,1.1440212904919937
0.0,0.9817477042468103,-1.2222280932078409,1.2222280932078409
0.0,1.030835089459151,-1.0974552072728558,1.113867133698488
0.0,1.0799224746714913,-0.8092572875574312,0.8404379128820979
0.0,1.1290098598838318,-0.4063718723604167,0.4481307326367215
0.0,1.1780972450961724,0.04619397662556392,4.236322846081215e-16
0.0,1.227184630308513,0.47774596307413575,-0.4342522985351325
0.0,1.2762720155208536,0.8230446367203782,-0.7892116866910194
0.0,1.325359400733194,1.0322340429923955,-1.0136732985187007
0.0,1.3744467859455345,1.0780361288064513,-1.0780361288064513
0.0,1.423534171157875,0.959176972266866,-0.9781040453692782
0.0,1.4726215563702154,0.6996451215882074,-0.7348302150263669
0.0,1.521708941582556,0.34405605281934454,-0.39019438677700613
0.0,1.5707963267948966,-0.04999999999999951,-4.898587196589413e-16
0.0,1.6198837120072371,-0.42131081191083586,0.37517247795317427
0.0,1.6689710972195777,-0.714568440784889,0.6793833473467294
