grid_size,stress_relative_error,mean_velocity_max,divergence_max,velocity_modes_below_nyquist,all_quadratic_modes_below_nyquist
16,0.9486832980505139,9.540979117872439e-18,8.260059303211165e-14,False,False
20,9.627624648035924e-16,2.2037927038809358e-16,7.815970093361102e-14,True,False
24,4.094300213216723e-16,1.0620362614035786e-16,1.580957587066223e-13,True,False
32,1.4043333874306803e-15,2.6991213084026633e-16,1.758593271006248e-13,True,False
48,6.2192311630231056e-15,6.264279218805137e-17,4.0101255649460654e-13,True,True
64,3.8752986314792585e-15,3.211948935988307e-17,3.552713678800501e-13,True,True
96,1.69104133049023e-15,3.1514143146912e-17,7.016609515630989e-13,True,True
128,1.0229607239180594e-14,4.319868030996932e-17,8.810729923425242e-13,True,True
