row,column,target,computed,absolute_error
0,0,2.0,1.999999999999977,2.3092638912203256e-14
0,1,1.0,0.9999999999999997,3.3306690738754696e-16
1,0,1.0,0.9999999999999997,3.3306690738754696e-16
1,1,2.0,1.9999999999999774,2.2648549702353193e-14
