k,grid_size,shortest_velocity_axis_wavelength,all_quadratic_modes_below_nyquist,finite_frequency_covariance_correction,exact_correction,covariance_max_error,divergence_max,projected_force_max
2,256,2.0943951023931953,True,0.02000000000000013,0.020000000000000004,1.4432899320127035e-15,4.1255887595070817e-13,0.42746721659663167
4,256,1.2566370614359172,True,0.0050000000000004485,0.005000000000000001,1.887379141862766e-15,8.713030297258229e-13,0.42746721659660936
8,256,0.6981317007977318,True,0.0012499999999997513,0.0012500000000000002,2.1094237467877974e-15,1.6928680679484387e-12,0.42746721659660364
16,256,0.36959913571644626,True,0.00031250000000004885,0.00031250000000000006,1.6653345369377348e-15,2.156497203031904e-12,0.4274672165965864
32,256,0.19039955476301776,True,7.812500000015099e-05,7.812500000000002e-05,3.552713678800501e-15,4.458655666894629e-12,0.427467216596621
