eta,Y,working_digits,separate_increment_decimal,increment_recovered_from_total_decimal,relative_increment_loss
-0.6,2.0,80,2.165779110022155232275645e-285,0.0,1.0
0.0,2.0,80,3.875039476097118303751231e-11,3.875039476097118303751231e-11,1.271016234864738e-70
0.05,2.0,80,4.58776714531937010532749e-56,4.587767145319370105327492e-56,3.3819944672817686e-25
0.2,2.0,80,4.276918547111439553963639e-165,0.0,1.0
