Lambda,eta,Y,Phi,Phi_limit,Phi_comparison_error,U,U_first_comparison,U_comparison_error,max_relative_balance
128,0.2,1.0,0.7446134433132746,0.7802265442311126,0.035613100917837974,1.2480108503985161,1.2460998879246057,0.0019109624739103608,4.614568412988301e-19
256,0.2,1.0,0.7623882438730992,0.7802265442311126,0.017838300358013367,1.0335133185674885,1.0330499439623029,0.000463374605185724,6.913832265505941e-23
512,0.2,1.0,0.7713004188652313,0.7802265442311126,0.008926125365881285,0.926639014112119,0.9265249719811515,0.00011404213096761829,3.0808816353704363e-24
1024,0.2,1.0,0.7757618578517491,0.7802265442311126,0.004464686379363421,0.8732907710023731,0.8732624859905758,2.8285011797373047e-05,1.364431632405319e-26
2048,0.2,1.0,0.7779938101147847,0.7802265442311126,0.002232734116327818,0.8466382860383569,0.8466312429952879,7.043043069037632e-06,9.540149560011815e-29
