quadrature_order,max_pressure_difference,relative_Q_target_difference,waiting_length_difference,max_stage_log_difference
8,0.0005099759866000753,0.4320955463035303,0.5657946706481276,0.5657946717799405
16,1.087726263548916e-05,0.028794524864573012,0.02921706949795677,0.0292170695565801
32,5.872502040205063e-09,6.156153750924709e-05,6.156338124085892e-05,6.156338122309535e-05
64,3.552713678800501e-15,1.4399725856151235e-10,1.439985908291419e-10,1.4415491023100913e-10
128,8.881784197001252e-16,6.994405055138486e-15,7.105427357601002e-15,2.2737367544323206e-13
