radial_degree,eta,Y,Phi,U,angular_relative,axial_relative,pressure_relative
4,0.2,1.0,0.7686605190694423,0.8374443902336132,3.3606334914676186e-06,3.917924493868935e-41,0.0005590502545694763
8,0.2,1.0,0.768660606285562,0.8374443902336132,2.566138051005311e-13,2.237276579722073e-72,1.3885468313683166e-10
12,0.2,1.0,0.7686606062855599,0.8374443902336132,2.6020177921517955e-21,2.237276579722073e-72,1.0531689597949346e-17
16,0.2,1.0,0.7686606062855599,0.8374443902336132,3.860236095417719e-30,2.237276579722073e-72,1.362436529216269e-25
