radius,delta_U,delta_E
1.68,0.0,0.0
1.6819333333333333,0.0,0.0
1.6838666666666666,0.0,0.0
1.6858,0.0,0.0
1.6877333333333333,0.0,0.0
1.6896666666666667,0.0,0.0
1.6916,0.0,0.0
1.6935333333333333,0.0,0.0
1.6954666666666667,0.0,0.0
1.6974,0.0,0.0
1.6993333333333334,0.0,0.0
1.7012666666666667,0.0,0.0
1.7032,0.0,0.0
1.7051333333333332,0.0,0.0
1.7070666666666665,0.0,0.0
1.7089999999999999,0.0,0.0
1.7109333333333332,0.0,0.0
1.7128666666666665,0.0,0.0
1.7147999999999999,0.0,0.0
1.7167333333333332,0.0,0.0
1.7186666666666666,0.0,0.0
1.7206,0.0,0.0
1.7225333333333332,0.0,0.0
1.7244666666666666,0.0,0.0
1.7264,0.0,0.0
1.7283333333333333,0.0,0.0
1.7302666666666666,0.0,0.0
1.7322,0.0,0.0
1.7341333333333333,0.0,0.0
1.7360666666666666,0.0,0.0
1.738,0.0,0.0
1.7399333333333333,0.0,0.0
1.7418666666666667,0.0,0.0
1.7438,0.0,0.0
1.7457333333333334,0.0,0.0
1.7476666666666667,0.0,0.0
1.7496,0.0,0.0
1.7515333333333332,0.0,0.0
1.7534666666666667,0.0,0.0
1.7553999999999998,0.0,0.0
1.7573333333333332,0.0,0.0
1.7592666666666665,0.0,0.0
1.7611999999999999,0.0,0.0
1.7631333333333332,0.0,0.0
1.7650666666666666,0.0,0.0
1.767,0.0,0.0
1.7689333333333332,0.0,0.0
1.7708666666666666,0.0,0.0
1.7728,0.0,0.0
1.7747333333333333,0.0,0.0
1.7766666666666666,0.0,0.0
1.7786,0.0,0.0
1.7805333333333333,0.0,0.0
1.7824666666666666,0.0,0.0
1.7844,0.0,0.0
1.7863333333333333,0.0,0.0
1.7882666666666667,0.0,0.0
1.7902,0.0,0.0
1.7921333333333334,0.0,0.0
1.7940666666666667,0.0,0.0
1.796,0.0,0.0
1.7979333333333334,0.0,0.0
1.7998666666666665,0.0,0.0
1.8018,0.0,0.0
1.8037333333333332,0.0,0.0
1.8056666666666665,0.0,0.0
1.8075999999999999,0.0,0.0
1.8095333333333332,0.0,0.0
1.8114666666666666,0.0,0.0
1.8134,0.0,0.0
1.8153333333333332,0.0,0.0
1.8172666666666666,0.0,0.0
1.8192,0.0,0.0
1.8211333333333333,0.0,0.0
1.8230666666666666,0.0,0.0
1.825,0.0,0.0
1.8269333333333333,0.0,0.0
1.8288666666666666,0.0,0.0
1.8308,0.0,0.0
1.8327333333333333,0.0,0.0
1.8346666666666667,0.0,0.0
1.8366,0.0,0.0
1.8385333333333334,0.0,0.0
1.8404666666666667,0.0,0.0
1.8424,0.0,0.0
1.8443333333333334,0.0,0.0
1.8462666666666667,0.0,0.0
1.8481999999999998,0.0,0.0
1.8501333333333334,0.0,0.0
1.8520666666666665,0.0,0.0
1.8539999999999999,0.0,0.0
1.8559333333333332,0.0,0.0
1.8578666666666666,0.0,0.0
1.8598,0.0,0.0
1.8617333333333332,0.0,0.0
1.8636666666666666,0.0,0.0
1.8656,0.0,0.0
1.8675333333333333,0.0,0.0
1.8694666666666666,0.0,0.0
1.8714,0.0,0.0
1.8733333333333333,0.0,0.0
1.8752666666666666,0.0,0.0
1.8772,0.0,0.0
1.8791333333333333,0.0,0.0
1.8810666666666667,4.823007424946669e-23,0.0
1.883,2.664423488329572e-07,0.0
1.8849333333333333,0.0006739515812520195,0.0
1.8868666666666667,0.020647295866581313,0.0
1.8888,0.1404869361068235,0.0
1.8907333333333334,0.4786864530797419,0.0
1.8926666666666667,1.1210714604417524,0.0
1.8946,2.0944147068737817,0.0
1.8965333333333332,3.3788247266728844,0.0
1.8984666666666667,4.928918227200908,0.0
1.9003999999999999,6.690282489169078,0.0
1.9023333333333332,8.609262053487171,0.0
1.9042666666666666,10.637739447556166,0.0
1.9062,12.734873418761687,0.0
1.9081333333333332,14.86721141729293,0.0
1.9100666666666666,17.008040204809003,0.0
1.912,19.136453469419905,0.0
1.9139333333333333,21.23638147790844,0.0
1.9158666666666666,23.295695959579753,0.0
1.9178,25.305433127286143,0.0
1.9197333333333333,27.259142418062147,0.0
1.9216666666666666,29.152352264916576,0.0
1.9236,30.982137925773753,0.0
1.9255333333333333,32.74677509460577,0.0
1.9274666666666667,34.445464020080976,0.0
1.9294,36.07811076203334,0.0
1.9313333333333333,37.64515432945319,0.0
1.9332666666666667,39.1474304425681,0.0
1.9352,40.58606441690611,0.0
1.9371333333333334,41.962387146816695,0.0
1.9390666666666667,43.27786938274742,0.0
1.9409999999999998,44.53407048192455,0.0
1.9429333333333334,45.732598602122025,0.0
1.9448666666666665,46.875079937633366,0.0
1.9468,47.963135096075305,0.0
1.9487333333333332,48.99836111012523,0.0
1.9506666666666668,49.98231789107851,0.0
1.9526,50.91651817836093,0.0
1.9545333333333332,51.80242023466987,0.0
1.9564666666666666,52.6414226911054,0.0
1.9584,53.43486106917335,0.0
1.9603333333333333,54.184005603650284,0.0
1.9622666666666666,54.890060067372026,0.0
1.9642,55.554161360236634,0.0
1.9661333333333333,56.177379673408694,0.0
1.9680666666666666,56.7607190784808,0.0
1.97,57.305118422236994,0.0
1.9719333333333333,57.81145243229324,0.0
1.9738666666666667,58.28053295853606,0.0
1.9758,58.7131102909569,0.0
1.9777333333333333,59.109874506985314,0.0
1.9796666666666667,59.47145681139711,0.0
1.9816,59.7984308398201,0.0
1.9835333333333334,60.091313903183234,0.0
1.9854666666666667,60.350568155478435,0.0
1.9874,60.57660167118603,0.0
1.9893333333333332,60.769769421862314,0.0
1.9912666666666667,60.93037414386881,0.0
1.9931999999999999,61.05866709117255,0.0
1.9951333333333334,61.15484866867699,0.0
1.9970666666666665,61.21906894274101,0.0
1.999,61.251428026490544,0.0
2.0009333333333332,61.25197633827915,0.0
2.002866666666667,61.22071473227329,0.0
2.0048,61.15759450066708,0.0
2.0067333333333335,61.06251724751822,0.0
2.0086666666666666,60.93533463468298,0.0
2.0106,60.77584800085541,0.0
2.0125333333333333,60.583807855330654,0.0
2.0144666666666664,60.35891324885944,0.0
2.0164,60.10081102489938,0.0
2.0183333333333335,59.80909495575787,0.0
2.0202666666666667,59.4833047696371,0.0
2.0221999999999998,59.1229250765269,0.0
2.0241333333333333,58.72738420335091,0.0
2.0260666666666665,58.296052951894275,0.0
2.028,57.8282432969887,0.0
2.029933333333333,57.323207047418386,0.0
2.0318666666666667,56.78013449827824,0.0
2.0338,56.19815311140629,0.0
2.0357333333333334,55.576326270400685,0.0
2.0376666666666665,54.913652169148065,0.0
2.0396,54.20906290833589,0.0
2.041533333333333,53.461423893924724,0.0
2.0434666666666668,52.6695336559854,0.0
2.0454,51.83212423696421,0.0
2.0473333333333334,50.94786233689526,0.0
2.0492666666666666,50.01535145140321,0.0
2.0512,49.03313529907612,0.0
2.0531333333333333,47.999702911257835,0.0
2.055066666666667,46.91349585363903,0.0
2.057,45.77291817056942,0.0
2.0589333333333335,44.57634979645886,0.0
2.0608666666666666,43.322164372598635,0.0
2.0628,42.00875265298808,0.0
2.0647333333333333,40.63455299301247,0.0
2.0666666666666664,39.19809080710689,0.0
2.0686,37.69802937707006,0.0
2.0705333333333336,36.13323501715311,0.0
2.0724666666666667,34.502860385987134,0.0
2.0744,32.80645071342629,0.0
2.0763333333333334,31.04407891864757,0.0
2.0782666666666665,29.216517065992964,0.0
2.0802,27.325453351017565,0.0
2.082133333333333,25.37376580108017,0.0
2.0840666666666667,23.365865988113903,0.0
2.086,21.30812797215307,0.0
2.0879333333333334,19.209418743598395,0.0
2.0898666666666665,17.081745245653543,0.0
2.0918,14.941027010683436,0.0
2.0937333333333332,12.807987638803453,0.0
2.095666666666667,10.709123896618573,0.0
2.0976,8.677642500434544,0.0
2.0995333333333335,6.754125524863752,0.0
2.1014666666666666,4.98645586213112,0.0
2.1034,3.428155075129635,0.0
2.1053333333333333,2.133737918216533,0.0
2.107266666666667,1.149132934657648,0.0
2.1092,0.495454851147227,0.0
2.111133333333333,0.14786566237180465,0.0
2.1130666666666666,0.022455344929338338,0.0
2.115,0.0007925439979799637,0.0
2.1169333333333333,4.115247928009581e-07,0.0
2.1188666666666665,1.319141226094358e-21,0.0
2.1208,0.0,0.0
2.122733333333333,0.0,0.0
2.1246666666666667,0.0,0.0
2.1266,0.0,0.0
2.1285333333333334,0.0,0.0
2.1304666666666665,0.0,0.0
2.1324,0.0,0.0
2.134333333333333,0.0,0.0
2.1362666666666668,0.0,0.0
2.1382,0.0,0.0
2.1401333333333334,0.0,0.0
2.1420666666666666,0.0,0.0
2.144,0.0,0.0
2.1459333333333332,0.0,0.0
2.147866666666667,0.0,0.0
2.1498,0.0,0.0
2.1517333333333335,0.0,0.0
2.1536666666666666,0.0,0.0
2.1556,0.0,0.0
2.1575333333333333,0.0,0.0
2.159466666666667,0.0,0.0
2.1614,0.0,0.0
2.163333333333333,0.0,0.0
2.1652666666666667,0.0,0.0
2.1672000000000002,0.0,0.0
2.1691333333333334,0.0,0.0
2.1710666666666665,0.0,0.0
2.173,0.0,0.0
2.174933333333333,0.0,0.0
2.1768666666666667,0.0,0.0
2.1788,0.0,0.0
2.1807333333333334,0.0,0.0
2.1826666666666665,0.0,0.0
2.1846,0.0,0.0
2.186533333333333,0.0,0.0
2.188466666666667,0.0,0.0
2.1904,0.0,0.0
2.1923333333333335,0.0,0.0
2.1942666666666666,0.0,0.0
2.1962,0.0,0.0
2.1981333333333333,0.0,0.0
2.2000666666666664,0.0,0.0
2.202,0.0,0.0
2.2039333333333335,0.0,0.0
2.2058666666666666,0.0,0.0
2.2077999999999998,0.0,0.0
2.2097333333333333,0.0,0.0
2.211666666666667,0.0,0.0
2.2136,0.0,0.0
2.215533333333333,0.0,0.0
2.2174666666666667,0.0,0.0
2.2194000000000003,0.0,0.0
2.2213333333333334,0.0,0.0
2.2232666666666665,0.0,0.0
2.2252,0.0,0.0
2.227133333333333,0.0,0.0
2.2290666666666668,0.0,0.0
2.231,0.0,0.0
2.2329333333333334,0.0,0.0
2.2348666666666666,0.0,0.0
2.2368,0.0,0.0
2.2387333333333332,0.0,0.0
2.240666666666667,0.0,0.0
2.2426,0.0,0.0
2.2445333333333335,0.0,0.0
2.2464666666666666,0.0,0.0
2.2484,0.0,0.0
2.2503333333333333,0.0,0.0
2.2522666666666664,0.0,0.0
2.2542,0.0,0.0
2.2561333333333335,0.0,0.0
2.2580666666666667,0.0,0.0
2.26,0.0,0.0
2.2619333333333334,0.0,0.0
2.263866666666667,0.0,0.0
2.2658,0.0,0.0
2.267733333333333,0.0,0.0
2.2696666666666667,0.0,0.0
2.2716,0.0,0.0
2.2735333333333334,0.0,0.0
2.2754666666666665,0.0,0.0
2.2774,0.0,0.0
2.279333333333333,0.0,0.0
2.2812666666666668,0.0,0.0
2.2832,0.0,0.0
2.2851333333333335,0.0,0.0
2.2870666666666666,0.0,0.0
2.289,0.0,0.0
2.2909333333333333,0.0,0.0
2.292866666666667,0.0,0.0
2.2948,0.0,0.0
2.296733333333333,0.0,0.0
2.2986666666666666,0.0,0.0
2.3006,0.0,0.0
2.3025333333333333,0.0,0.0
2.3044666666666664,0.0,0.0
2.3064,0.0,0.0
2.3083333333333336,0.0,0.0
2.3102666666666667,0.0,0.0
2.3122,0.0,0.0
2.3141333333333334,0.0,0.0
2.316066666666667,0.0,0.0
2.318,0.0,0.0
2.319933333333333,0.0,0.0
2.3218666666666667,0.0,0.0
2.3238,0.0,0.0
2.3257333333333334,0.0,0.0
2.3276666666666666,0.0,0.0
2.3296,0.0,0.0
2.3315333333333332,0.0,0.0
2.333466666666667,0.0,0.0
2.3354,0.0,0.0
