order,reference_order,maximum_absolute_moment_remainder,maximum_relative_moment_remainder,max_coefficient_difference
12,384,3.170314689660003e-07,1.0567715632200012e-06,1.2147433878340053e-05
24,384,4.317262769504282e-09,1.4390875898347607e-08,1.652242929139902e-07
48,384,1.6831536164829686e-12,5.6105120549432286e-12,5.869793540114188e-11
96,384,3.8469227803261674e-14,1.2823075934420558e-13,0.0
192,384,4.343747583845925e-15,4.343747583845925e-14,1.4210854715202004e-13
