moment,before,after,absolute_remainder,relative_remainder
1,1.0,0.0,0.0,0.0
2,0.3,3.8469227803261674e-14,3.8469227803261674e-14,1.2823075934420558e-13
3,-0.4,1.2212453270876722e-15,1.2212453270876722e-15,3.0531133177191805e-15
4,-0.4,2.220446049250313e-16,2.220446049250313e-16,5.551115123125783e-16
5,-0.1,-7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-14
